Date	NOX(mmole/m3)	NH4(mmole/m3)	PO4(mmole/m3)	TotP(mmole/m3)	Chl(mg/m3)	Wind Spd	AirP	AirT	Hum	CC	SWR	delT	DO_sur	DO_bot
2019-01-23				0.56506										
2019-04-12	0.086848		0.075207	0.42061	14.472	7.469295833333336	960.3812458333333	10.891666666666666	75.125	0.22792083333333332	881.5	0.15722222222222149	9.472447916666665	9.346136067708334
2019-05-14				0.31078		1.471516666666667	958.2746166666666	16.758333333333336	63.375	0.41338333333333327	632.0	1.1333333333333333	8.514609375000001	5.160878906249999
2019-06-09	0.17569		0.73667	0.79684	3.389	1.5646375000000006	960.4673041666668	22.241666666666664	39.125	0.2521208333333333	1008.0	1.7447222222222214	8.203828125	5.862711588541667
2019-06-25		19.956	3.0851	1.9374		5.643883333333332	952.1198500000002	23.42916666666667	50.083333333333336	0.28025	943.1667	2.5108333333333337		1.9660481770833333
2019-07-13	0.052274		0.89911	1.0702	15.798	1.6205249999999998	953.8610291666668	26.25833333333333	49.791666666666664	0.22244999999999995	964.0	0.5843055555555555		6.946116536458334
2019-08-13			0.94765	1.6225		3.483195833333333	957.6932916666668	24.495833333333334	59.625	0.25787916666666666	903.0	0.24263888888888938		8.46271267361111
2019-08-31	0.12915		3.0861	2.8444	12.838	1.2479875000000005	957.2107333333333	25.8625	47.916666666666664	0.2028375	869.0	0.39444444444444454		5.291419270833333
2019-10-11	0.076855		2.4965	2.6586	99.977	1.145533333333333	960.3417333333337	15.233333333333334	42.541666666666664	0.19417916666666668	714.2	0.0893055555555556	6.465078125000001	5.9837847222222225
2019-11-22	0.33485		1.2391	1.3242	6.3225	0.6333000000000001	962.83495	10.208333333333332	67.41666666666667	0.15094166666666667	484.0	0.1341666666666669	5.616119791666666	5.3224609375
2020-01-15	1.79			0.44398		2.5704708333333337	964.3023999999999	4.320833333333334	87.54166666666667	0.29365	403.0	0.030000000000000027	9.7283984375	9.360321180555557
2020-01-17	1.209		0.24068	0.53052	32.938	1.5460166666666668	965.326775	4.425	88.70833333333333	0.3178125	418.6667	0.010416666666666444	9.606914062500001	9.23640625
2020-03-06	0.015508	0.17988	0.031246	0.23664	2.5061	1.5087708333333338	959.8902125000003	11.887499999999998	74.875	0.3338208333333334	609.0	0.6734722222222219		8.918051215277776
2020-06-08	0.27136	2.2036	0.21965	0.57072	32.157	1.0617250000000005	965.9828791666669	14.991666666666667	58.0	0.2183708333333333	973.0	0.18791666666666643		6.906718749999999
2020-07-22	0.056754	9.4703	1.9783	2.7444	34.388	2.3655875000000006	950.6227833333334	25.470833333333335	58.083333333333336	0.14717916666666667	937.0	2.2283333333333335		2.998125
2020-09-08	0.022035	1.1929	3.8667	3.498	30.47	3.5390666666666672	949.2484791666667	29.283333333333335	32.5	0.44612500000000005	402.25	0.7508333333333336		3.3785416666666674
2020-10-16	0.11652	3.672	5.3716	4.6532	21.486	1.3783666666666672	959.8027291666666	25.004166666666663	36.208333333333336	0.10870000000000002	677.0	0.5790277777777773		3.2739778645833346
2020-12-04	1.0227	8.2198	3.1401	3.0454	21.199	1.0244625	970.5573333333333	8.750000000000002	73.29166666666667	0.2363291666666667	455.8	0.19041666666666668		4.603450520833333
2020-12-29			6.3107	1.897		0.9685791666666671	964.7130000000001	7.108333333333334	74.41666666666667	0.18951249999999997	496.0	0.053333333333332865		4.880416666666666
2021-01-15	1.4249	15.275	1.9801	1.8161	2.2754	1.993054166666667	971.8145458333332	11.058333333333332	81.58333333333333	0.2598958333333333	410.0	0.29249999999999954		3.83197265625
2021-02-10			0.0	1.1301		1.6391541666666667	962.0067	11.249999999999998	67.91666666666667	0.1234125	602.0	0.3191666666666669		7.385553385416666
2021-03-13	0.013008	0.068043	0.028561	0.30537	9.2132	3.1479041666666667	967.0481874999999	11.2125	61.166666666666664	0.11381249999999998	770.0	0.4040277777777776		8.897792968750002
2021-03-17			0.0	0.32289	6.6	2.4959708333333332	962.8307291666666	8.3875	69.29166666666667	0.2644916666666666	680.8	0.352222222222222		7.732233072916666
2021-04-14	0.0		0.0	0.0	2.5	2.2724500000000005	954.9093958333333	14.391666666666666	45.583333333333336	0.16952499999999995	893.2	0.46541666666666637		7.088177083333335
2021-04-23	0.016202	0.12445	0.090396	0.35676	4.972	1.601895833333334	956.0043291666669	17.370833333333334	53.125	0.21601666666666663	898.0	0.6287499999999998		5.899108072916666
2021-05-26			0.0	0.79916	8.75	1.7509000000000003	960.4179291666668	18.504166666666666	59.208333333333336	0.16321666666666668	993.0	0.30444444444444424		7.2165299479166665
2021-06-10	0.091241	0.88595	1.0221	1.0753	13.197	4.097870833333333	966.1324541666668	13.391666666666667	62.375	0.13036666666666663	976.0	0.08638888888888803	7.128984375	7.005768229166667
2021-06-16			3.4221	1.3723	27.5	1.6019041666666665	960.9371708333333	22.033333333333335	51.416666666666664	0.14133333333333334	1004.0	0.2822222222222222	7.909127604166666	7.34359375
2021-07-07	0.0		5.0015	3.4711	77.5	0.0	955.1323416666669	26.35833333333333	37.958333333333336	0.14769583333333333	988.0	2.5133333333333336		
2021-07-22	0.080409	10.18	2.9337	2.8915	25.514	3.5949541666666662	954.9601999999999	25.19583333333334	54.041666666666664	0.12499583333333335	935.6	0.6297222222222226	6.734173177083332	3.907382812500001
2021-08-11	0.0		13.688	4.5205	139.5	2.7567333333333335	956.1172124999999	28.008333333333326	48.708333333333336	0.21080416666666668	848.2	1.1187500000000001	6.3667578125	1.287786458333333
2021-09-03	0.028423	4.6315	5.1593	4.9022	75.661	1.1548541666666665	956.3203958333334	22.00833333333333	59.541666666666664	0.29988333333333334	767.0	0.25180555555555645	5.20560546875	3.3985026041666675
2021-09-08					109.5	4.340016666666666	955.8561708333333	26.958333333333332	48.583333333333336	0.2650583333333333	761.8	0.5666666666666664		
2021-10-07	0.10791	9.1042	6.1014	5.743	102.57	1.0617208333333337	958.0488541666665	14.954166666666667	55.0	0.40497916666666667	573.0	0.06166666666666624	5.775273437500001	5.407630208333333
2021-10-13	0.0		16.847	5.0048	105.0	4.712537499999999	959.750525	14.4375	45.833333333333336	0.20241250000000002	656.3333	0.052777777777778034	7.549244791666667	7.312604166666667
2021-11-10					64.0	1.6205166666666664	970.1072333333335	11.612499999999999	90.33333333333333	0.23205833333333334	510.75	0.13958333333333317		5.655065104166667
2021-11-23	0.61869	31.911	5.3971	4.9102	14.607	1.210725	962.5330041666667	11.504166666666665	69.45833333333333	0.11603333333333332	505.0	0.01083333333333325		4.551783854166666
2022-01-28	1.539	6.5262	1.491	2.1066	36.858	0.9872041666666664	970.7548708333334	7.645833333333333	66.75	0.20190833333333333	488.75	0.1512499999999998		12.305970052083333
2022-04-01				0.17708	6.0233	2.551862500000001	957.3729916666666	14.195833333333333	66.25	0.15234999999999999	853.0	0.27249999999999996	8.248997395833333	7.427233072916667
2022-06-13				0.0										
2019-04-01						0.9313291666666667	960.7438708333331	15.645833333333336	54.958333333333336	0.3381833333333333	525.0	1.0383333333333329	10.18046875	6.786757812499999
2019-04-02						1.6018916666666676	955.1746666666667	12.737499999999999	74.70833333333333	0.43215	470.0	1.521527777777778	10.240768229166667	6.112503255208332
2019-04-03						1.0058249999999995	958.3945541666667	11.641666666666664	80.75	0.46215416666666664	320.0	0.614722222222222	10.295846354166665	8.069104817708332
2019-04-04						1.7695333333333334	960.1272625	11.995833333333335	81.20833333333333	0.4255666666666667	444.0	0.983888888888889	10.511744791666668	6.736676432291667
2019-04-05						1.0989750000000005	958.2647500000002	11.2875	85.20833333333333	0.46144999999999997	511.0	1.1558333333333335	10.433828125000002	6.916220703125
2019-04-06						1.2107208333333335	961.079675	11.874999999999998	84.45833333333333	0.43925833333333336	551.0	1.2605555555555557	10.707265625	7.454876302083334
2019-04-07						0.8381958333333333	966.7039166666665	13.320833333333335	86.625	0.4720624999999999	605.0	1.5102777777777778	10.387226562499999	6.411829427083333
2019-04-08						1.1921041666666665	966.5402249999999	15.883333333333333	81.66666666666667	0.34661666666666663	855.0	1.533194444444444	10.259179687499998	6.278154296875002
2019-04-09						2.384204166666667	965.9052833333334	12.379166666666665	75.29166666666667	0.3387	889.0	0.2654166666666667	10.004296875000003	8.851741536458333
