Date,thermD,MLD,SW,AirT,Prec(mm),relhum,Wdir,Wspeed(m/s),CC,Inflow,W,delT,Ice_d,day_from_iceoff
1985-06-01,-5.1288,-36.8,330.4529724,15.042857142857144,0.0,50.915330663071465,330.0,1.8571428571428568,13.0,18.497,0.006490760911480816,-0.028141357004642487,52,1.0
1985-06-02,-5.174,-36.8,287.4371338,16.337500000000002,0.0,57.831366738605496,240.0,2.125,29.33333333333333,17.6122,0.0027363175058484823,-0.02663593739271164,52,2.0
1985-06-03,-5.1099,-36.8,316.6130371,12.7875,0.0,60.20345573044097,320.0,1.875,17.0,16.7699,0.0032483158181779988,-0.025157250463962555,52,3.0
1985-06-04,-2.094,-36.8,236.2200165,14.2125,0.0,67.07660947099889,160.0,2.125,29.33333333333333,15.9679,0.007438622396974079,-0.0236915685236454,52,4.0
1985-06-05,-3.0402,-36.8,161.6750793,11.687500000000002,0.0,74.66469271881117,50.0,2.3125,75.33333333333333,15.2043,0.0035119943586255985,-0.02228809893131256,52,5.0
1985-06-06,-4.4019,-36.8,68.83252716,8.975000000000001,0.0,73.41635301994741,50.0,2.0,100.0,14.4772,0.004366259567908785,-0.020937930792570114,52,6.0
1985-06-07,-5.1101,-36.8,169.8963928,9.0875,1.1,72.41708510468956,140.0,1.5,87.66666666666667,13.7849,0.002957000791500169,-0.01963185891509056,52,7.0
1985-06-08,-5.1895,-36.8,65.94573975,10.6375,10.8,83.03490892405621,100.0,1.125,96.0,13.4016,0.0024989871435674646,0.03474777936935425,52,8.0
1985-06-09,-5.6268,-36.8,152.8341522,9.825,1.1,88.94022319753554,280.0,2.5,67.0,15.7657,0.004009018795690071,-0.0070882439613342285,52,9.0
1985-06-10,-6.079,-0.9415477677967407,256.3973999,12.5375,0.0,67.81889420921243,200.0,2.5,54.333333333333336,14.0553,4.535073018216514e-05,-0.5789556466042995,52,10.0
1985-06-11,-6.2047,-36.8,228.9739685,11.8,1.0,85.15934738664899,0.0,0.625,50.333333333333336,12.7366,0.011328205948385775,-0.10036218166351318,52,11.0
1985-06-12,-6.2615,-36.8,215.1822357,9.75,1.1,90.68681197176998,0.0,1.125,79.33333333333333,12.0917,0.23314927420304138,-0.10121574997901917,52,12.0
1985-06-13,-6.2716,-36.8,117.9523087,10.0375,0.0,85.98648427685318,140.0,1.375,100.0,11.571,0.14238890918297495,-0.10362750291824341,52,13.0
1985-06-14,-5.6464,-0.8282810953173743,112.6927414,13.225,0.8,69.7216541876134,350.0,2.375,88.0,10.8207,0.00016036139867896317,-0.5007997248321772,52,14.0
1985-06-15,-6.2083,-1.62554250552668,71.13134003,10.95,0.0,82.44093593174692,340.0,3.0,100.0,10.4165,0.0012577305408539034,-0.4859800972044468,52,15.0
1985-06-16,-6.6267,-2.434885514555195,240.7438202,14.0,0.0,74.24548998361202,10.0,1.375,75.0,9.80676,0.0011401886818666947,-0.46199947595596313,52,16.0
