Date,NOX(mmole/m3),NH4(mmole/m3),PO4(mmole/m3),TotP(mmole/m3),Si(mmole/m3),Chl(mg/m3),O2(mmole/m3),SST,delT,U,AirT,Humidity,CC,Prec(mm/d),swr(w/m2),inflow(m3/s),outflow(m3/s),month,Ice_d,days from iceoff,MLD,W,thermD,YY
2017-04-03,0.079,0.284,0.06,0.756,19.1,12.29392005605826,497.265,2.807045,-0.071285,3.159833333333333,2.3866666666666667,89.125,0.8500000000000002,0.0,545.3,0.866,-1.105,4,86,2.0,-21.0,0.0046872475933892,-15.0,2017
2017-04-06,0.086,0.187,0.097,0.635,18.6,13.253472807982092,472.7375,3.67054,-0.0050400000000001,4.416041666666667,4.458750000000001,74.50833333333334,0.5125000000000001,0.0,591.0,0.8140000000000001,-1.056,4,86,5.0,-21.0,0.0,-15.0,2017
2017-04-25,0.009,0.251,0.01,0.531,18.6,4.042876309365958,387.81500000000005,4.7145,0.0994999999999999,3.5206666666666666,2.36875,96.52500000000002,0.9083333333333332,6.5,462.0,0.355,-0.805,4,86,24.0,-21.0,0.0086309439199625,-15.0,2017
2017-05-03,0.124,0.323,0.098,0.47,22.2,3.6593725590950177,378.595,6.536833333333333,1.161833333333333,3.336625,6.97,61.89166666666667,0.0583333333333333,0.0,759.5,0.592,-0.755,5,86,32.0,-7.188520778136207,0.1658376549616498,-1.5,2017
2017-05-09,0.064,0.177,0.021,0.411,25.0,3.697497219253028,364.8425,6.915666666666667,0.1166666666666662,4.5357916666666656,1.1754166666666668,67.62083333333334,0.3625,0.0,572.9,0.408,-0.71,5,86,38.0,-21.0,0.0012109505187666,-15.0,2017
2017-05-16,0.196,0.156,0.04,0.424,22.3,3.6047439908303436,356.2525,7.820833333333334,0.4858333333333338,3.224541666666666,6.15375,75.09166666666667,0.4125000000000001,0.0,779.8,0.301,-0.664,5,86,45.0,-16.44024423015863,0.3566488209330429,-1.5,2017
2017-05-22,0.09,0.418,0.09,0.367,21.5,3.8311792996187615,348.6725,11.524,3.820000000000001,4.789541666666666,13.23375,69.44583333333334,0.6791666666666667,0.0,508.8,0.247,-0.63,5,86,51.0,-4.236390915485273,0.5130154018760706,-12.5615,2017
2017-06-12,0.164,0.391,0.246,0.538,26.9,3.983005736145095,310.54999999999995,15.244000000000002,3.383000000000001,3.936083333333334,14.915,91.49583333333334,0.7500000000000001,1.8999999999999992,612.1,0.228,-0.467,6,86,72.0,-5.246391222795199,1.2820453664675122,-11.5143,2017
2017-07-04,0.224,0.548,0.08,0.475,39.4,4.946511496030707,294.6875,17.443411111111107,3.7680777777777754,4.974708333333333,13.140833333333337,80.92083333333333,0.6958333333333334,0.0,424.8,0.148,-0.453,7,86,94.0,-7.621657311475434,2.1029895156131704,-13.6941,2017
2017-07-11,0.07,0.349,0.024,0.591,36.9,5.749763992793291,305.705,18.209511111111112,4.226611111111112,2.84825,15.408333333333331,99.25416666666663,0.9708333333333332,1.1999999999999995,193.7,0.122,-0.547,7,86,101.0,-4.704487750810909,2.714963190543588,-14.5,2017
2017-07-18,0.165,0.906,0.067,0.682,40.3,5.376643517836383,297.345,18.880233333333333,3.8308333333333326,4.422833333333332,15.377499999999998,70.12499999999999,0.3083333333333333,0.0,611.4,0.098,-0.622,7,86,108.0,-9.585220825236387,3.189702826163432,-14.5,2017
2017-07-25,0.185,0.121,0.099,0.649,40.5,5.1729488330719064,294.7675,18.308322222222223,3.345722222222223,4.369583333333333,16.313750000000002,84.34583333333333,0.5416666666666666,0.0,665.7,0.308,-0.506,7,86,115.0,-7.873629745500148,3.5898423377355457,-14.5,2017
2017-08-01,0.003,0.38,0.003,0.675,33.7,7.677441356281592,306.875,19.50623333333333,3.6484666666666623,4.813375,18.69583333333333,69.45,0.4083333333333332,0.0,748.0,0.399,-0.365,8,86,122.0,-9.87669904224074,2.553433789703237,-14.5,2017
2017-08-08,0.078,0.897,0.055,1.199,35.0,7.302594194671038,290.9375,19.18898888888889,2.995088888888887,3.876083333333333,18.01541666666667,68.79583333333333,0.5208333333333335,0.0,582.6,0.27,-0.781,8,86,129.0,-13.67501439443513,23.856919603348416,-13.6989,2017
2017-08-15,0.462,1.901,0.063,0.756,37.6,5.511653545416978,290.5475,19.262722222222223,2.9048888888888875,2.658333333333333,16.30833333333334,72.98333333333333,0.5041666666666667,0.0,535.8,0.185,-0.851,8,86,136.0,-13.07661132739984,17.760242379241955,-14.5,2017
2017-09-05,0.183,0.782,0.57,1.338,6.6,9.287736284742016,288.9075,17.117344444444445,-0.0004888888888885,6.021166666666667,14.582083333333337,82.03333333333335,0.4499999999999999,0.0,645.7,0.164,-0.767,9,86,157.0,-21.0,0.0070747810816713,-15.0,2017
2017-09-12,0.434,2.229,0.753,1.295,11.7,6.373203895254777,276.33000000000004,16.091944444444447,0.0386444444444435,3.916875,15.626666666666663,89.21249999999999,0.7208333333333333,0.1,533.9,0.124,-0.793,9,86,164.0,-21.0,0.0375645323203847,-15.0,2017
2017-09-19,0.777,2.83,0.895,1.281,18.6,4.880013798167037,273.36,15.393044444444444,0.0214444444444428,3.216583333333334,10.381666666666666,99.74166666666665,0.9875,1.7999999999999996,262.7,0.1,-0.635,9,86,171.0,-21.0,0.111315690312155,-15.0,2017
2017-09-26,1.366,3.301,0.814,1.309,30.9,4.539108961292763,276.33000000000004,14.637133333333333,0.1447999999999965,2.4675,14.078749999999998,94.07916666666668,0.3708333333333333,0.0,441.1,0.326,-0.48,9,86,178.0,-21.0,0.2097489194054898,-15.0,2017
2017-10-10,3.968,2.555,1.019,1.367,35.9,3.4828437688183254,300.54999999999995,12.415799999999996,0.0308999999999972,7.1451666666666656,7.656666666666667,98.80416666666667,1.0,1.3999999999999997,163.7,0.736,-0.423,10,86,192.0,-21.0,0.0054674731018336,-15.0,2017
2017-10-24,4.846,1.506,0.951,1.34,40.9,3.3663252057460546,309.9225,10.228366666666666,0.0069333333333343,2.528583333333333,3.9966666666666666,86.73333333333333,0.9166666666666666,2.899999999999999,125.4,1.207,-0.529,10,86,206.0,-21.0,0.0275975169749797,-15.0,2017
2017-11-14,7.957,1.277,0.982,1.479,52.0,3.2947800483690077,344.765,6.088797777777778,0.0064777777777775,4.0110833333333344,-0.1195833333333333,92.4875,0.4458333333333333,0.4000000000000001,173.9,1.826,-1.101,11,86,227.0,-21.0,0.0056597928957998,-15.0,2017
2017-11-29,9.533,0.349,1.073,1.258,52.5,3.215366265912582,364.06500000000005,3.7679211111111104,-0.0044088888888893,2.1686666666666667,3.4524999999999992,99.36666666666666,0.6333333333333333,1.6000000000000003,66.66,2.484,-1.055,11,86,242.0,-21.0,0.0057231443574112,-15.0,2017
2018-04-10,10.707,0.744,0.475,1.124,58.9,5.922415156504155,428.5175,1.8257966666666663,-0.8240799999999997,4.599708333333333,1.310416666666667,70.625,0.1958333333333333,0.0,664.0,2.876,-1.528,4,101,-11.0,-21.0,0.0039182107494885,-11.747,2018
2018-04-16,5.48,0.763,0.172,0.966,37.8,16.406457705744206,484.925,2.5604444444444443,-0.1675655555555555,1.1954999999999998,3.11,74.29166666666667,0.4208333333333334,0.0,572.9,4.383,-2.237,4,101,-5.0,-21.0,0.0988281221834028,-15.0,2018
2018-04-24,0.034,0.179,0.026,1.049,10.6,11.9423922218556,536.6425,3.877445555555556,-0.0135777777777774,5.216375,7.857499999999998,80.75,0.9166666666666666,0.2999999999999999,723.5,2.156,-2.771,4,101,3.0,-21.0,0.0015587420109228,-15.0,2018
2018-04-27,0.131,0.456,0.024,1.048,1.3,13.186419481486306,551.485,5.014691111111111,0.5819477777777777,3.1464583333333334,6.290833333333332,85.29166666666667,0.7250000000000001,1.3999999999999997,566.7,1.615,-2.65,4,101,6.0,-21.0,0.2671514204154783,-3.4133,2018
2018-05-02,0.057,0.201,0.159,0.846,1.3,11.19053278614107,532.6575,5.406297777777778,0.610637777777777,3.9960416666666663,7.8075,86.41666666666667,0.8041666666666666,0.0,344.0,1.037,-2.324,5,101,11.0,-21.0,0.5063896278749324,-1.5,2018
2018-05-08,0.11,0.227,0.038,0.559,3.4,11.423524190580123,495.395,9.381825555555556,2.6771288888888893,2.278458333333333,14.19375,65.95833333333333,0.0708333333333333,0.0,728.4,1.002,-2.015,5,101,17.0,-7.04414579711921,0.2332044194796024,-3.789,2018
2018-05-15,0.155,0.245,0.036,0.787,2.1,4.931691895350297,440.08,11.38422222222222,4.781998888888887,1.88575,15.822500000000003,60.91666666666666,0.0,0.0,751.8,0.842,-1.704,5,101,24.0,-1.728184284877444,0.5094888751219363,-3.2452,2018
