Date,thermD,MLD,swr,U,AirP,AirT,CC,Prec,RelHum,Inflow,W,delT,Ice_d,day_from_iceoff,NOX,O2,PO4-P,Tot-P,Si,NH4-N,Chl
2000-03-24,-36.8,-36.8,549.7,2.0542727272727275,1016.1363636363636,2.936363636363636,0.01,0.0,57.54545454545455,12.1102,0.0088081935104077,0.0064864754676818,77,5.0,1694.868325923414,11.131035292345437,26.573473079370213,67.1492894609431,4.840013188303324,11.293035099136738,6.090048293229058
2000-03-25,-36.8,-36.8,540.8,1.2955,1016.14375,1.6833333333333331,0.01,0.15,58.125,11.5144,0.0109316284991178,0.0050951838493347,77,6.0,1673.8826316777684,11.149141310010549,26.52458708897734,62.25349643176553,4.777342481705947,11.438139644925444,6.090048293229058
2000-03-26,-36.8,-36.8,376.9,4.710708333333334,1017.3375,0.9854166666666666,0.01,0.0,66.625,10.9564,0.0896351159953219,0.0015015006065368,77,7.0,1623.4923309342141,11.328484626567265,25.764605953518537,58.01183965876322,4.701567391658515,11.954441592936456,6.094381626562392
2000-03-27,-36.8,-36.8,487.6,5.975791666666667,1026.15,-0.1854166666666666,0.01,0.0,58.833333333333336,10.4292,0.0135794549295519,-0.0067439675331115,77,8.0,1597.805983313042,11.332905427929218,24.962145271562225,56.139672949306274,4.671774619813643,12.168529759495701,6.096548293229058
2000-03-28,-36.8,-36.8,583.3,2.405333333333333,1029.2321486928104,-1.152777777777778,0.0095833333333333,0.0,59.60294117647059,9.92907,0.0031246120252225,-0.0003137588500976,77,9.0,1596.0758144040265,11.269755608242347,24.9698366520461,56.62747677059265,4.625733387375871,11.956146622166731,6.095248293229058
2000-03-29,-36.8,-36.8,579.4,2.780636363636364,1026.4970588235292,1.5666666666666664,0.01,0.0,59.11764705882353,9.45362,0.0730650797348172,-0.0023998022079467,77,10.0,1601.1195886712655,11.189899067368016,25.365667528564767,56.815891984609145,4.615070905215753,11.839915803751788,6.094381626562392
2000-04-04,-36.8,-36.8,506.3,4.691722222222222,994.8472222222222,6.908333333333333,0.01,0.0,71.88888888888889,7.09716,0.0085129009707724,0.001684546470642,77,16.0,1610.745374328053,11.250374021087016,25.053468752652456,55.934364561008515,4.606708630835868,11.948028502969768,6.095619721800487
2000-04-05,-36.8,-36.8,461.7,3.87425,998.3125,1.2458333333333331,0.01,4.5,63.708333333333336,7.86621,0.0029149020776925,0.0031002759933471,77,17.0,1575.1593276834994,11.288481975263917,24.60888481730126,53.221339804585,4.556668595751333,12.114206438510644,6.097476864657629
2000-04-06,-36.8,-36.8,639.9,3.5692916666666665,1015.64375,3.0729166666666665,0.0095833333333333,0.0,41.97916666666666,7.16832,0.0072904608592682,-0.0081391334533691,77,18.0,1565.1570626554942,11.224440021242446,24.166802887656242,52.58565784670514,4.5395961842222965,12.405597048484202,6.12009027448176
2000-04-07,-36.8,-36.8,629.0,4.62125,1025.8417045454546,1.8666666666666665,0.0095833333333333,0.0,51.26401515151516,6.60197,0.0084842812841203,-0.0013070106506347,77,19.0,1569.4003376685898,11.113536136190072,23.873568816396663,53.0513029248623,4.5254936013189155,12.435630831776354,6.117518845910331
2000-04-08,-36.8,-36.8,650.5,3.969333333333333,1024.4854545454546,2.142857142857143,0.0095238095238095,0.0,56.61818181818181,6.18716,0.0025765495923137,-0.0071430206298828,77,20.0,1566.317453995963,11.07679142275175,23.86054378633676,53.374855616137054,4.5049604134343175,12.437130106948851,6.114947417338902
2000-04-12,-36.8,-36.8,438.3,6.287571428571428,1003.0892857142856,5.310714285714285,0.01,0.7,79.82142857142857,5.18346,0.0048492053442199,0.0051212310791015,77,24.0,1552.5810772584116,11.115590782384706,23.662757663690538,52.19884736770639,4.473207967996131,12.70989935253,6.116804560196045
2000-04-13,-36.8,-36.8,397.4,7.551458333333333,991.6666666666666,4.704166666666667,0.01,2.3,85.33333333333333,5.50206,0.0033898798157644,0.0055820941925048,77,25.0,1529.557998664346,11.147999149634614,23.17558701421723,50.94011452712558,4.422068095649159,12.91396136273814,6.124823836739277
