Date,U,CC,delT,AirT,Humidity,Prec(mm/d),swr(w/m2),inflow(m3/s),Ice_d,days from iceoff,MLD,W,thermD,NOX,O2,PO4,TotP,NH4,Si,Chl
2017-04-01,4.782291666666668,0.8875000000000001,-0.1070199999999998,4.5225,99.12916666666666,0.1,230.2,0.935,86,0.0,-21.0,0.0319230762443297,-15.0,7.6013961440865225,418.56514140582306,0.6771665893048117,1.1486000984524223,0.38534186354122085,45.81070791573546,6.6978627869669545
2017-04-02,4.259083333333334,0.8874999999999997,-0.3429349999999997,6.027083333333333,91.2791666666667,0.0,448.4,0.9,86,1.0,-21.0,0.0023153115138013,-15.0,8.492996401355331,428.8014661598611,0.6309845391387119,1.1966648813157517,0.3860126765658838,47.85760356840178,7.960224898418784
2017-04-03,3.159833333333333,0.8500000000000002,-0.071285,2.3866666666666667,89.125,0.0,545.3,0.866,86,2.0,-21.0,0.0046872475933892,-15.0,8.606721159006481,430.63582842660827,0.5815541350966915,1.2312237436348852,0.3943124881418431,49.15333590827763,8.762030897908335
2017-04-04,6.033708333333333,0.9041666666666668,0.047085,6.716249999999999,73.96666666666665,0.0,607.0,0.858,86,3.0,-21.0,0.0,-15.0,7.661099559676163,429.56041174547863,0.5068992405744249,1.2298934575270404,0.40015859838162937,48.80027975275935,9.248810370530236
2017-04-05,5.979333333333333,0.6625,0.0566900000000001,6.555833333333335,74.50833333333331,0.5,543.0,0.85,86,4.0,-21.0,0.0007243758994759,-15.0,6.792432852899213,431.5033177022145,0.5040375155217228,1.247022810717644,0.4034635486923272,48.585386789486364,9.72299625772186
2017-04-06,4.416041666666667,0.5125000000000001,-0.0050400000000001,4.458750000000001,74.50833333333334,0.0,591.0,0.8140000000000001,86,5.0,-21.0,0.0,-15.0,6.613082314105987,430.28370282106516,0.4890835701754135,1.2315931227299046,0.40335211532441223,48.11015076952939,10.036945554720264
2017-04-07,2.885291666666667,0.9041666666666668,0.1139999999999998,3.762916666666667,77.41666666666667,0.0,609.6,0.771,86,6.0,-21.0,0.0,-15.0,6.642521463497215,428.58180911525807,0.4634306999855994,1.2172618502750538,0.4023676605729727,48.67843329172666,10.273701091200468
2017-04-08,1.7359583333333333,1.0,0.1636666666666668,3.102499999999999,76.10833333333333,0.1,334.7,0.726,86,7.0,-21.0,0.0100594062703056,-15.0,5.7527558969243975,432.4049735329715,0.4429914152224272,1.231020372166151,0.4073329272774076,49.72828711710968,11.115306626532467
2017-04-09,4.054833333333334,0.9875000000000002,0.1484999999999998,6.524166666666666,78.07916666666667,0.0,614.7,0.685,86,8.0,-21.0,0.0138772987210879,-15.0,4.434316209280795,435.42559920960963,0.39422575674522864,1.2295549777568269,0.41139755499898606,49.89619908791129,11.847904450912706
2017-04-10,6.275333333333335,0.7750000000000002,0.0974999999999992,7.680416666666666,84.59166666666665,1.1999999999999995,249.0,0.645,86,9.0,-21.0,0.0030151669244477,-15.0,3.206649725070835,438.1204227101866,0.3821843030570006,1.2321310171307491,0.4139548850267759,48.83981884412166,12.34343074886222
