Date	thermD	U	AirT	Prec	RelHum	swr	CC	MLD	W	delT	Ice_d	day_from_iceoff	NOX-N	PO4-P	Tot-P	NH4-N	Si	Chl
1990-03-01	-17.8	2.7864377179922752	-0.535	0.09	87.25	51.505	0.7975	-18.0	0.0029655440445539	-0.0086877346038818	2.0	31.0	513.228515625	23.49750328063965	69.56934356689453	26.62919807434082	4.159937858581543	22.324914932250977
1990-03-02	-17.8	7.849426456953719	-0.685	0.0	63.25	90.508	0.4325	-18.0	0.0013386646441002	-0.0079531669616699	2.0	32.0	513.228515625	23.49750328063965	69.56934356689453	26.62919807434082	4.159937858581543	22.324914932250977
1990-03-03	-17.8	5.79221945803161	-1.2975	0.03	56.125	93.743	0.40625	-18.0	0.0006416412706358	-0.0072734355926513	2.0	33.0	513.228515625	23.49750328063965	69.56934356689453	26.62919807434082	4.159937858581543	22.324914932250977
1990-03-04	-17.8	5.742835516156196	3.0775	5.24	84.875	52.951	0.7525	-18.0	0.0	-0.0039597749710083	2.0	34.0	513.228515625	23.49750328063965	69.56934356689453	26.62919807434082	4.159937858581543	22.324914932250977
1990-03-05	-17.8	12.21707130412195	4.065	0.83	68.75	62.892	0.7	-18.0	0.0002407771284154	0.0004748106002807	2.0	35.0	513.228515625	23.49750328063965	69.56934356689453	26.62919807434082	4.159937858581543	22.324914932250977
1990-03-06	-17.8	8.772355949586746	2.7275	0.02	50.5	111.167	0.24	-18.0	0.0001838844271392	-0.0010030269622802	2.0	36.0	513.228515625	23.49750328063965	69.56934356689453	26.62919807434082	4.159937858581543	22.324914932250977
1990-03-07	-17.8	5.660994039532722	1.24	0.54	62.5	73.459	0.5125	-18.0	0.0009711677928878	-0.0029761791229248	2.0	37.0	513.228515625	23.49750328063965	69.56934356689453	26.62919807434082	4.159937858581543	22.324914932250977
1990-03-08	-17.8	9.11029202073814	5.8275	0.28	58.625	114.507	0.4975	-18.0	0.0	-0.0003693103790283	2.0	38.0	513.228515625	23.49750328063965	69.56934356689453	26.62919807434082	4.159937858581543	22.324914932250977
1990-03-09	-17.8	4.632335441289308	2.565	6.9	82.0	60.556	0.87375	-18.0	0.0	0.0017976760864257	2.0	39.0	468.651611328125	21.530010223388672	64.50273895263672	27.340789794921875	4.136658191680908	20.037099838256836
1990-03-10	-17.8	7.961816517957758	0.3525	0.3	61.875	95.716	0.60875	-18.0	0.0009788559113757	-0.0014765262603759	2.0	40.0	460.5986022949219	21.366798400878906	62.26421356201172	27.20394515991211	4.136078834533691	20.28646469116211
1990-03-11	-17.8	2.842933742742697	-1.1475	8.14	75.5	43.791	0.64875	-18.0	0.0017559790032132	-0.0064358711242675	2.0	41.0	481.8456115722656	21.209476470947266	60.093841552734375	29.740943908691406	4.155144691467285	20.6370849609375
1990-03-12	-17.8	5.895687844200199	2.865	0.32	68.75	111.745	0.6875	-18.0	0.0025192407498584	-0.0074206590652465	2.0	42.0	443.78948974609375	20.55458641052246	59.6043586730957	28.38907241821289	4.102797031402588	20.078338623046875
1990-03-13	-17.8	2.6810533873134643	-1.0225	0.0	48.0	130.175	0.08625	-18.0	0.0038864248505795	-0.0045473575592041	2.0	43.0	451.7099609375	21.032747268676758	64.28197479248047	26.188720703125	4.100306987762451	20.431474685668945
1990-03-14	-17.8	5.19301908966499	-0.0725	0.02	67.75	62.908	0.70125	-18.0	0.0129881614542848	-0.0223208665847778	2.0	44.0	474.4218444824219	21.05030632019043	63.721614837646484	26.86341094970703	4.119388580322266	20.929351806640625
1990-03-15	-17.8	10.52516747565686	5.6775	0.0	75.125	48.175	0.955	-18.0	0.0003140585219764	0.0004315376281738	2.0	45.0	507.7273254394531	21.084012985229492	63.40227508544922	29.288503646850586	4.142221927642822	20.918657302856445
1990-03-16	-17.8	10.013626068075938	8.9025	1.38	80.875	50.513	0.95375	-18.0	0.0007712279799925	0.005728006362915	2.0	46.0	517.7615356445312	21.493783950805664	63.640628814697266	32.61980438232422	4.143858432769775	22.093854904174805
1990-03-17	-17.8	7.459434174461559	10.415	0.02	70.625	74.477	0.8425	-18.0	0.0005429278034195	0.0084187984466552	2.0	47.0	462.479248046875	21.204627990722656	63.13917922973633	30.685659408569336	4.177768707275391	21.2685489654541
1990-03-18	-17.8	6.966798549638851	11.2275	0.0	67.875	142.206	0.39625	-18.0	0.0003961124891922	0.0096309185028076	2.0	48.0	482.2793273925781	21.572607040405273	64.0526123046875	29.693941116333008	4.06414270401001	22.955846786499023
1990-03-19	-17.8	10.061017359715668	10.515	0.02	63.5	93.44	0.42875	-18.0	0.0001396177074014	0.0073862075805664	2.0	49.0	421.0569152832031	20.38755226135254	63.76484298706055	27.414094924926758	4.06479024887085	21.230270385742188
1990-03-20	-17.8	7.929638454281822	5.965	0.48	65.625	138.458	0.4725	-18.0	0.0003808103945762	0.0030984878540039	2.0	50.0	451.4451904296875	20.479076385498047	63.68436050415039	26.665807723999023	3.9385221004486084	22.437076568603516
1990-03-21	-17.8	8.15845240858369	4.8275	5.35	88.0	46.485	0.8375	-18.0	0.0006217403041693	0.0008137226104736	2.0	51.0	409.27001953125	19.90924072265625	64.45144653320312	28.13977813720703	3.9284820556640625	22.12071990966797
1990-03-22	-17.8	10.568334797432613	7.615	0.02	63.75	125.085	0.45625	-18.0	0.0003420367639266	0.0011990070343017	2.0	52.0	442.4144287109375	20.08768653869629	68.98188018798828	28.493024826049805	3.912327766418457	20.923255920410156
1990-03-23	-17.8	8.575005944786568	5.9025	0.15	64.125	121.147	0.61375	-18.0	0.0003341427676752	0.0010924339294433	2.0	53.0	432.7077331542969	19.958316802978516	71.12779235839844	27.927053451538086	3.8747944831848145	19.933401107788086
1990-03-24	-17.8	11.50881396270376	7.665	1.13	67.5	121.836	0.66	-18.0	0.0002974527329329	0.0012845993041992	2.0	54.0	382.5470886230469	19.665996551513672	70.0434341430664	26.831462860107422	3.675846576690674	18.909374237060547
1990-03-25	-17.8	4.105752918923641	4.365	0.77	69.625	115.309	0.525	-18.0	0.0003444908972043	0.000439167022705	2.0	55.0	346.09344482421875	19.035390853881836	68.99774169921875	26.123987197875977	3.46976900100708	16.692655563354492
1990-03-26	-17.8	3.528289743717911	2.6275	0.11	70.75	150.461	0.38625	-18.0	0.0013807283598223	-0.0018248558044433	2.0	56.0	341.7511901855469	18.946245193481445	68.77899169921875	25.279050827026367	3.254706621170044	13.874155044555664
1990-03-27	-17.8	3.4008827553482344	2.8775	0.0	67.75	171.986	0.16	-18.0	0.0024952242314766	-0.0017552375793457	2.0	57.0	352.2417907714844	18.92936897277832	71.16124725341797	25.397079467773438	3.1024224758148193	12.121344566345215
1990-03-28	-17.8	4.760648467186482	3.865	0.0	66.375	169.24	0.36875	-18.0	0.0017752632241878	-0.0007824897766113	2.0	58.0	332.53106689453125	18.23066520690918	71.83541107177734	25.374799728393555	3.0047078132629395	11.638848304748535
1990-03-29	-17.8	5.969267680429903	4.54	0.0	66.0	152.145	0.4775	-18.0	0.0010348772638508	-0.0001425743103027	2.0	59.0	133.99705505371094	13.378175735473633	80.9760971069336	20.920364379882812	2.8394877910614014	9.6981782913208
1990-03-30	-17.8	5.857732503121409	7.5275	0.02	63.25	180.51	0.2475	-18.0	0.0008665062340541	0.0021567344665527	2.0	60.0	135.96990966796875	9.010791778564453	72.4968032836914	18.06700325012207	2.662118911743164	10.807910919189453
1990-03-31	-17.8	5.288124261316578	8.865	0.08	56.375	173.153	0.3525	-18.0	0.0003288910390454	0.0054306983947753	2.0	61.0	155.35906982421875	6.052803993225098	65.19066619873047	16.088369369506836	2.557246446609497	11.5939302444458
1990-04-01	-17.8	3.5972718069566274	9.69	0.25	66.5	136.385	0.5975	-18.0	0.0	0.0113139152526855	2.0	62.0	184.57977294921875	5.894463539123535	53.75117111206055	13.66987419128418	2.5798540115356445	11.562483787536621
1990-04-02	-17.8	2.490793673711253	4.34	3.96	90.5	51.333	0.9975	-18.0	0.0099880264320651	0.0235300064086914	2.0	63.0	224.24319458007812	7.152176856994629	55.745731353759766	16.353639602661133	2.4107422828674316	10.852319717407227
1990-04-03	-17.8	4.5736086084321865	6.8025	10.61	88.0	59.311	0.94875	-18.0	0.0007886913441581	0.0022506713867187	2.0	64.0	276.7169189453125	9.59433650970459	57.56205368041992	20.849308013916016	2.516045570373535	8.19480037689209
1990-04-04	-17.8	4.240263295185807	1.5275	2.79	74.125	114.915	0.6825	-18.0	0.0010352039177376	-0.0010600090026855	2.0	65.0	308.1155700683594	12.255059242248535	59.245418548583984	21.38129997253418	2.5667104721069336	5.819859504699707
1990-04-05	-17.8	5.614935509981392	1.215	0.19	62.125	186.758	0.36375	-18.0	0.0004036710287372	-0.0049209594726562	2.0	66.0	306.27490234375	13.421966552734375	60.690757751464844	16.983388900756836	2.467190742492676	4.338484764099121
1990-04-06	-17.8	4.644418062645201	2.2275	5.68	79.625	72.782	0.87375	-18.0	0.0003803991009278	-0.0041208267211914	2.0	67.0	352.7628173828125	15.442283630371094	63.95536422729492	21.136411666870117	2.7364745140075684	3.4725944995880127
1990-04-07	-17.8	4.710171216699559	-1.335	1.16	65.75	203.398	0.2325	-18.0	0.0004513440431774	-0.0054826736450195	2.0	68.0	298.33734130859375	14.2290678024292	65.99256134033203	17.528438568115234	2.7533411979675293	3.541085720062256
1990-04-08	-17.8	4.722999617893802	0.7025	0.0	48.25	207.747	0.1525	-18.0	0.0008856393287609	-0.0054421424865722	2.0	69.0	215.90155029296875	10.444772720336914	61.637996673583984	13.574862480163574	2.71855092048645	5.381499767303467
1990-04-09	-17.8	7.739849930917589	5.1025	0.0	62.5	188.377	0.51	-18.0	0.0005034751370703	-0.0013794898986816	2.0	70.0	258.68682861328125	9.591109275817871	52.51361083984375	14.152474403381348	2.6284735202789307	7.787818908691406
1990-04-10	-17.8	7.363964863823361	4.6525	0.12	73.0	110.168	0.80125	-18.0	0.0005296185238074	0.0011432170867919	2.0	71.0	239.4467315673828	10.380709648132324	48.196922302246094	17.771093368530273	2.948965072631836	8.156497955322266
1990-04-11	-17.8	2.8960420863007155	3.49	0.64	88.25	62.597	0.9375	-18.0	0.0007899310022439	0.0006542205810546	2.0	72.0	219.0296630859375	11.75515365600586	51.73868179321289	24.483999252319336	2.8544199466705322	8.054462432861328
1990-04-12	-17.8	2.712065633424088	5.39	0.0	80.625	164.802	0.6525	-18.0	0.0057606919613925	0.0051918029785156	2.0	73.0	282.0096740722656	12.980587005615234	53.7713737487793	21.34676742553711	2.860543727874756	7.927094459533691
1990-04-13	-17.8	2.345574456556432	6.2525	0.01	78.625	127.229	0.7025	-18.0	0.0095226255316283	0.0228505134582519	2.0	74.0	307.1127624511719	14.563667297363281	54.48955154418945	25.14594268798828	2.915191650390625	7.5866312980651855
1990-04-14	-17.8	4.395412736592549	6.99	0.06	75.875	95.87	0.81125	-18.0	0.0017369672850759	0.0130400657653808	2.0	75.0	328.94403076171875	15.688271522521973	60.46686553955078	24.1926326751709	2.5738260746002197	5.326572418212891
1990-04-15	-17.8	5.498326236796977	7.6025	2.44	71.75	93.69	0.85375	-18.0	0.0008212427932893	0.0047259330749511	2.0	76.0	331.71551513671875	17.174823760986328	62.37051773071289	27.71145248413086	2.7950692176818848	3.7824623584747314
1990-04-16	-17.8	5.3209005640492855	7.1275	1.9	76.0	159.524	0.72125	-18.0	0.0003471108302683	0.0053091049194335	2.0	77.0	251.34439086914062	15.526119232177734	62.21427536010742	21.202030181884766	2.825420379638672	3.0979397296905518
1990-04-17	-17.8	3.3310422660370134	5.29	1.05	76.0	177.413	0.56375	-18.0	0.0011003430913204	0.0067992210388183	2.0	78.0	200.03855895996094	11.322098731994629	62.78429412841797	18.50031852722168	2.77117657661438	4.075248718261719
1990-04-18	-17.8	2.3432723679984364	5.1025	1.15	77.25	185.523	0.47875	-18.0	0.0133185103112347	0.0172920227050781	2.0	79.0	193.69894409179688	8.080435752868652	62.10744857788086	15.931783676147461	2.788762331008911	6.56171178817749
1990-04-19	-17.8	4.001250439315815	6.24	0.0	65.125	170.607	0.61875	-18.0	0.0073512637468416	0.0130047798156738	2.0	80.0	128.18418884277344	5.4829912185668945	60.330589294433594	13.594367027282715	2.7405283451080322	9.348090171813965
1990-04-20	-17.8	6.467604125563036	8.6025	1.07	65.375	207.541	0.7	-18.0	0.0003630959571498	0.005950927734375	2.0	81.0	110.71272277832031	3.6463382244110107	53.8393440246582	12.666936874389648	2.481396436691284	12.774983406066895
1990-04-21	-17.8	4.874425967806364	9.3525	0.04	68.125	239.963	0.40625	-18.0	0.0016050735844679	0.0101680755615234	2.0	82.0	89.87435913085938	2.976621627807617	47.73747253417969	16.772829055786133	2.3529868125915527	14.99250602722168
1990-04-22	-17.8	1.1133278170085394	9.1775	0.0	63.5	250.1	0.26375	-18.0	0.0847068340816767	0.0782017707824707	2.0	83.0	72.88298034667969	3.4940295219421387	47.04916763305664	20.1043701171875	2.0956292152404785	13.85543155670166
1990-04-23	-0.94409	0.8104261996011729	9.8525	0.0	60.125	251.897	0.25	-1.17668363845677	0.0521647859102467	0.9831838607788086	2.0	84.0	80.43138122558594	4.5636396408081055	52.964691162109375	18.88141441345215	1.6565669775009155	11.73874282836914
1990-04-24	-0.96734	0.786703962745835	10.1525	0.0	56.5	254.811	0.09625	-18.0	5.545662978411989	0.3115897178649902	2.0	85.0	99.36841583251953	3.9976203441619873	49.214229583740234	17.888965606689453	1.4526588916778564	11.501798629760742
1990-04-25	-0.97835	0.7725680087377421	10.29	0.0	57.125	257.544	0.08875	-18.0	8.628250957045504	0.4294123649597168	2.0	86.0	103.94676208496094	3.3912131786346436	47.507484436035156	16.748929977416992	1.2796988487243652	11.884827613830566
1990-04-26	-1.9903	5.060122165336031	10.4025	0.08	55.625	235.06	0.4075	-3.990283345563945	0.1261981005908191	1.6821637153625488	2.0	87.0	102.08047485351562	3.288969039916992	46.99357223510742	14.534615516662598	1.1711452007293701	13.147443771362305
1990-04-27	-5.9757	2.1506380775539613	6.9775	2.9	76.5	116.06	0.90375	-6.097049606954338	0.1370270585531426	1.6234745979309082	2.0	88.0	180.3738555908203	5.025594234466553	47.18122863769531	17.759563446044922	1.2720997333526611	17.68382453918457
1990-04-28	-6.949	4.370107308822633	7.3275	0.0	46.875	266.865	0.18125	-7.605695656758271	0.3369702685595094	1.4666881561279297	2.0	89.0	162.28611755371094	4.013525485992432	48.41279220581055	13.945913314819336	1.2343759536743164	18.225147247314453
1990-04-29	-10.0097	6.111076681168794	10.19	0.27	69.75	179.816	0.60625	-12.242496646288654	0.1879551337222377	1.1801023483276367	2.0	90.0	150.99554443359375	3.612117290496826	50.197181701660156	11.093666076660156	1.1913644075393677	18.382905960083008
1990-04-30	-12.964	5.031917385860483	16.065	0.04	54.125	268.57	0.33875	-12.982620403430984	0.2351281645743441	1.3374404907226562	2.0	91.0	121.22679138183594	2.9882993698120117	49.68988800048828	10.4710054397583	1.2301379442214966	17.25987434387207
