Date	NOX	NH4	PO4	TotP	Si	Chl	O2	SST	delT	U	AirT	Humidity	CC	Prec(mm/d)	swr(w/m2)	inflow(m3/s)	outflow(m3/s)	month	Ice_d	days from iceoff	MLD	W	thermD	YY
2004-04-20	0.036	0.643	0.032	1.157	3.3	11.649	496.0975	5.0415600000000005	0.0656900000000009	2.864333333333334	7.59875	83.08333333333333	0.95	1.3000000000000005	631.3	0.914	-1.683	4	106	6.0	-14.30776904328175	0.2584948462631335	-15.0	2004
2004-04-27	0.014	0.007	0.097	0.845	0.9	8.605	471.8775	5.94475	0.55783	3.1984166666666667	6.150833333333334	58.04166666666666	0.3666666666666665	0.0	751.0	0.944	-1.48	4	106	13.0	-6.711935145312278	0.518748377380017	-2.4996	2004
2004-05-04	0.507	0.214	0.194	0.594	1.5	3.126	436.72	8.420645	2.1656850000000007	3.702791666666666	9.183333333333332	90.875	1.0	0.2	693.1	0.929	-1.295	5	106	20.0	-4.901439082417117	0.3287553697513468	-2.4941	2004
2004-05-12	0.071	0.429	0.129	0.469	2.7	1.714	380.47	10.73375	3.97979	4.495041666666666	4.892916666666667	73.625	0.4624999999999999	0.1	618.6	0.747	-1.102	5	106	28.0	-9.96892882091743	0.7989679452981585	-14.5	2004
2004-05-17	0.143	0.071	0.097	0.657	3.6	1.212	364.0625	10.8346	3.6106	3.901708333333334	11.970833333333331	60.875	0.8999999999999998	0.0	776.0	0.607	-0.999	5	106	33.0	-7.073148181700215	3.0484577856220807	-14.5	2004
2004-05-25	0.286	0.643	0.258	0.407	6.8	3.122	358.595	10.60125	0.0745500000000003	2.0279166666666666	6.269166666666667	90.95833333333331	0.9874999999999998	2.5	252.7	0.538	-0.899	5	106	41.0	-18.68998291430768	5.655158427767681	-15.0	2004
2004-06-01	0.143	0.857	0.161	0.5	11.4	2.325	350.7825	12.206166666666666	1.6551666666666662	3.6422916666666656	11.708750000000002	61.208333333333336	0.3999999999999999	0.1	862.0	0.515	-0.892	6	106	48.0	-11.87221216637854	3.325833567497709	-5.5202	2004
2004-06-29	0.286	0.357	0.065	0.626	22.1	2.89	312.5	17.477	4.204000000000001	2.380333333333334	15.69916666666667	87.25	0.4541666666666666	5.400000000000002	784.0	0.376	-0.965	6	106	76.0	-2.749122520364277	1.4686529998104183	-7.2776	2004
2004-07-06	0.286	1.286	0.032	0.782	21.9	3.659	296.565	17.85066666666667	3.874666666666668	2.6310833333333337	14.698333333333332	85.125	0.4125	6.900000000000003	815.0	0.641	-0.915	7	106	83.0	-5.819196427912868	10.653538613068925	-7.2861	2004
2004-07-13	0.714	0.786	0.161	0.5	27.8	4.254	289.69	16.1735	2.242500000000001	2.9650416666666666	14.922083333333331	87.45833333333333	0.8833333333333333	4.099999999999999	533.2	0.73	-0.904	7	106	90.0	-8.025290070428333	3.4514498527089987	-10.2267	2004
2004-08-03	0.5	2.357	0.129	0.594	33.6	3.974	288.285	19.42933333333333	4.703333333333331	4.295791666666667	18.550416666666667	91.375	0.7666666666666667	0.0	195.6	0.336	-0.945	8	106	111.0	-9.438220959173016	4.909163701754392	-8.312	2004
2004-08-10	0.143	1.071	0.194	1.032	34.2	5.77	292.97	21.9245	7.364499999999998	1.8580833333333333	21.11041666666668	78.75	0.2374999999999999	0.0	772.0	0.243	-0.879	8	106	118.0	-3.062246319441738	1.9418957817700693	-9.1813	2004
2004-08-18	0.286	0.643	0.032	0.469	37.4	5.92	276.565	19.815166666666663	5.101166666666666	2.719333333333333	15.685833333333331	89.16666666666667	0.8083333333333335	0.4000000000000001	417.6	0.197	-0.831	8	106	126.0	-7.223194758064175	19.682406625965022	-8.7599	2004
2004-08-24	1.214	0.929	0.194	0.782	46.3	8.55	271.095	18.511333333333333	3.2523333333333326	2.114125	13.093333333333335	75.08333333333333	0.2041666666666666	0.0	705.0	0.176	-0.815	8	106	132.0	-13.16095847473001	2.367232979426323	-11.881	2004
2004-08-31	1.857	1.714	0.581	1.157	54.5	5.91	265.6275	17.375833333333333	0.9328333333333312	4.132750000000001	16.406250000000004	86.125	0.6999999999999998	0.0	550.4	0.174	-0.832	8	106	139.0	-16.63801216369477	20.59656117748177	-12.4445	2004
2004-09-06	0.643	1.143	0.226	0.938	35.0	10.692	300.0025	17.4055	0.2345000000000006	3.738083333333333	15.811666666666667	80.58333333333333	0.6125	0.0	430.1	0.157	-0.801	9	106	145.0	-16.01404561003783	3.261891378765603	-15.0	2004
2004-09-14	0.429	0.786	0.452	1.564	5.3	14.478	349.22	16.076666666666668	0.042666666666669	6.267541666666667	14.023333333333335	80.0	0.5375000000000001	0.5	533.7	0.13	-0.793	9	106	153.0	-21.0	0.0043301549974087	-15.0	2004
2004-09-21	0.071	0.214	0.42	1.001	2.1	8.578	346.88	14.758	0.1210000000000004	3.403416666666667	11.956250000000002	88.08333333333333	0.6291666666666668	20.300000000000008	506.3	0.164	-0.812	9	106	160.0	-21.0	0.001228086949602	-15.0	2004
2004-09-28	0.071	0.714	0.42	1.063	3.8	4.395	325.0	13.813166666666667	0.062166666666668	7.632458333333333	11.602916666666664	74.58333333333333	0.6875000000000001	0.0	237.3	0.173	-0.701	9	106	167.0	-21.0	0.0087211871700637	-15.0	2004
2004-10-05	0.286	1.214	0.71	0.782	8.7	1.947	293.75	12.9295	0.0514999999999989	3.413333333333334	11.31375	90.20833333333331	0.975	0.0	251.8	0.148	-0.632	10	106	174.0	-21.0	0.0160773798966967	-15.0	2004
2004-10-12	0.357	1.357	0.678	0.938	15.9	1.679	297.66	11.2545	0.0694999999999996	3.90525	4.450833333333333	81.625	0.0541666666666666	0.0	402.5	0.155	-0.548	10	106	181.0	-21.0	0.0926681372159215	-15.0	2004
2004-10-20	0.786	2.5	0.743	1.001	21.5	1.755	321.0975	9.904165	-0.0241650000000017	3.0043333333333333	5.777916666666665	90.66666666666669	1.0	1.0	43.72	0.205	-0.455	10	106	189.0	-21.0	0.0101260727483083	-15.0	2004
2004-11-02	1.571	3.357	0.775	1.063	29.2	2.051	353.13	7.859999999999999	-0.0820800000000003	3.665875	3.884166666666666	84.91666666666667	0.0375	0.0	265.9	0.268	-0.422	11	106	202.0	-21.0	0.010121569929726	-15.0	2004
2004-11-17	3.714	1.571	0.743	0.938	34.6	1.871	378.13	5.01331	-0.1543100000000006	5.5715	-1.28625	69.95833333333333	0.1875	10.0	182.1	0.328	-0.349	11	106	217.0	-21.0	0.0007418040624037	-15.0	2004
2005-04-05	12.643	0.286	0.452	0.845	53.5	1.437	412.5	1.5081449999999998	-0.444525	6.833375	6.729583333333334	58.375	0.5083333333333334	0.2	642.6	3.219	-1.704	4	74	-6.0	-21.0	0.0144975920925338	-15.0	2005
