collectDate,value
2014-01-15,0.025
2014-02-11,0.025
2014-03-11,0.025
2014-04-15,0.025
2014-05-13,0.025
2014-06-03,0.025
2016-10-12,0.09
2016-11-02,0.102
2016-12-13,0.054
2017-02-01,0.065
2017-03-09,0.028
2017-04-05,0.115
2017-05-02,0.09
2017-06-08,0.044
2017-06-08,0.091
2017-06-08,0.206
2017-06-27,0.156
2017-08-02,0.1026
2017-09-05,0.0436
2017-09-05,0.0398
2017-09-05,0.0273
2017-10-10,0.1632
2017-11-07,0.1397
2017-12-05,0.1204
2018-01-04,0.1053
2018-02-06,0.12
2018-03-05,0.0741
2018-04-02,0.1111
2018-04-30,0.0329
2018-06-05,0.0551
2018-06-05,0.0385
2018-06-05,0.0319
2018-07-10,0.0648
2018-07-31,0.0352
2018-07-31,0.0332
2018-07-31,0.038
2018-09-05,0.0378
2018-09-05,0.0774
2018-09-05,0.0656
2018-10-01,0.0849
2018-11-05,0.0172
2018-12-03,0.108
2019-01-07,0.0201
2019-02-05,0.1123
2019-03-05,0.0992
2019-04-11,0.0779
2019-05-08,0.0719
2019-05-08,0.0258
2019-06-11,0.3063
2019-06-11,0.112
2019-06-11,0.1122
2019-07-08,0.0693
2019-08-13,0.0407
2019-09-10,0.3021
2019-09-10,0.1044
2019-10-01,0.0957
