collectDate,value
2014-01-15,0.025
2014-02-11,0.025
2014-03-11,0.025
2014-04-15,0.025
2014-05-13,0.025
2014-06-03,0.025
2016-10-12,0.1638
2016-11-02,0.1478
2016-12-13,0.2058
2017-02-01,0.1228
2017-03-09,0.0276
2017-04-05,0.1359
2017-05-02,0.1277
2017-06-08,0.1589
2017-06-08,0.149
2017-06-08,0.1372
2017-06-27,1.97
2017-08-02,0.161
2017-09-05,0.1729
2017-09-05,0.21
2017-09-05,0.171
2017-10-10,0.2291
2017-11-07,0.1224
2017-12-05,-0.1011
2018-01-04,0.1209
2018-02-06,0.1584
2018-03-05,0.1666
2018-04-02,1.086
2018-04-30,0.188
2018-06-05,0.1736
2018-06-05,0.1587
2018-06-05,0.1767
2018-07-10,0.2585
2018-07-31,0.2139
2018-07-31,0.1945
2018-07-31,0.2458
2018-09-05,0.1945
2018-09-05,0.1995
2018-09-05,0.1927
2018-10-01,0.1269
2018-11-05,0.2584
2018-12-03,0.234
2019-01-07,0.262
2019-02-05,0.2446
2019-03-05,0.2624
2019-04-11,0.2685
2019-05-08,0.2416
2019-05-08,0.2575
2019-06-11,0.2807
2019-06-11,0.2796
2019-06-11,0.2787
2019-07-08,0.2519
2019-08-13,0.2104
2019-09-10,0.2789
2019-09-10,0.2619
2019-09-10,0.2448
2019-10-01,0.2573
