Date,V1
2017-08-27,NA
2017-08-28,NA
2017-08-29,NA
2017-08-30,NA
2017-08-31,NA
2017-09-01,NA
2017-09-02,NA
2017-09-03,NA
2017-09-04,NA
2017-09-05,NA
2017-09-06,NA
2017-09-07,NA
2017-09-08,NA
2017-09-09,NA
2017-09-10,NA
2017-09-11,NA
2017-09-12,NA
2017-09-13,NA
2017-09-14,NA
2017-09-15,NA
2017-09-16,NA
2017-09-17,NA
2017-09-18,NA
2017-09-19,NA
2017-09-20,NA
2017-09-21,NA
2017-09-22,NA
2017-09-23,NA
2017-09-24,NA
2017-09-25,NA
2017-09-26,NA
2017-09-27,NA
2017-09-28,NA
2017-09-29,NA
2017-09-30,NA
2017-10-01,NA
2017-10-02,NA
2017-10-03,NA
2017-10-04,NA
2017-10-05,NA
2017-10-06,NA
2017-10-07,NA
2017-10-08,NA
2017-10-09,NA
2017-10-10,NA
2017-10-11,NA
2017-10-12,NA
2017-10-13,NA
2017-10-14,NA
2017-10-15,NA
2017-10-16,NA
2017-10-17,NA
2017-10-18,NA
2017-10-19,NA
2017-10-20,1.14981818181818
2017-10-21,1.37861111111111
2017-10-22,1.54649305555556
2017-10-23,1.51954861111111
2017-10-24,1.47298611111111
2017-10-25,1.30208333333333
2017-10-26,1.24295138888889
2017-10-27,1.32569444444444
2017-10-28,1.328125
2017-10-29,1.07447916666667
2017-10-30,1.0515625
2017-10-31,0.8598606271777
2017-11-01,0.718194444444444
2017-11-02,0.645138888888889
2017-11-03,0.536597222222222
2017-11-04,0.449602649006623
2017-11-05,NA
2017-11-06,0.350373443983402
2017-11-07,0.301319444444444
2017-11-08,0.346215277777778
2017-11-09,0.3965625
2017-11-10,0.443888888888889
2017-11-11,0.479027777777778
2017-11-12,0.442465277777778
2017-11-13,0.409895833333333
2017-11-14,0.473993055555556
2017-11-15,0.515590277777778
2017-11-16,0.477013888888889
2017-11-17,0.487986111111111
2017-11-18,0.453090277777778
2017-11-19,0.490347222222222
2017-11-20,0.501770833333333
2017-11-21,0.796363636363636
2017-11-22,1.725625
2017-11-23,1.70253472222222
2017-11-24,1.83618055555556
2017-11-25,1.68361111111111
2017-11-26,1.60746527777778
2017-11-27,1.67503472222222
2017-11-28,1.65529644268775
2017-11-29,1.54453441295547
2017-11-30,1.54614754098361
2017-12-01,1.68534090909091
2017-12-02,1.50763779527559
2017-12-03,1.50256704980843
2017-12-04,1.63388111888112
2017-12-05,1.58723776223776
2017-12-06,1.55716783216783
2017-12-07,1.3865991902834
2017-12-08,1.15129151291513
2017-12-09,0.947183098591549
2017-12-10,0.810456140350877
2017-12-11,0.702272727272727
2017-12-12,0.736713286713287
2017-12-13,0.766982456140351
2017-12-14,0.839895104895105
2017-12-15,0.890909090909091
2017-12-16,NA
2017-12-17,NA
2017-12-18,NA
2017-12-19,0.665833333333333
2017-12-20,0.648148148148148
2017-12-21,0.5725
2017-12-22,0.526493055555556
2017-12-23,0.500104166666667
2017-12-24,0.586666666666667
2017-12-25,0.5746875
2017-12-26,0.684409722222222
2017-12-27,0.922118055555556
2017-12-28,1.17076388888889
2017-12-29,1.23479166666667
2017-12-30,1.1396875
2017-12-31,1.04711805555556
2018-01-01,0.967881944444444
2018-01-02,1.18055555555556
2018-01-03,1.15677083333333
2018-01-04,1.07581881533101
2018-01-05,1.091875
2018-01-06,NA
2018-01-07,NA
2018-01-08,NA
2018-01-09,NA
2018-01-10,NA
2018-01-11,NA
2018-01-12,NA
2018-01-13,NA
2018-01-14,NA
2018-01-15,NA
2018-01-16,NA
2018-01-17,NA
2018-01-18,NA
2018-01-19,NA
2018-01-20,NA
2018-01-21,NA
2018-01-22,NA
2018-01-23,NA
2018-01-24,NA
2018-01-25,NA
2018-01-26,NA
2018-01-27,NA
2018-01-28,NA
2018-01-29,NA
2018-01-30,NA
2018-01-31,NA
2018-02-01,NA
2018-02-02,NA
2018-02-03,NA
2018-02-04,NA
2018-02-05,NA
2018-02-06,NA
2018-02-07,NA
2018-02-08,NA
2018-02-09,NA
2018-02-10,NA
2018-02-11,NA
2018-02-12,NA
2018-02-13,NA
2018-02-14,NA
2018-02-15,NA
2018-02-16,NA
2018-02-17,NA
2018-02-18,NA
2018-02-19,NA
2018-02-20,NA
2018-02-21,NA
2018-02-22,NA
2018-02-23,NA
2018-02-24,NA
2018-02-25,NA
2018-02-26,NA
2018-02-27,NA
2018-02-28,NA
2018-03-01,NA
2018-03-02,NA
2018-03-03,NA
2018-03-04,NA
2018-03-05,NA
2018-03-06,NA
2018-03-07,2.76306818181818
2018-03-08,2.48024509803922
2018-03-09,3.37041666666667
2018-03-10,3.44711805555556
2018-03-11,3.32385416666667
2018-03-12,2.74993055555556
2018-03-13,2.97732638888889
2018-03-14,2.98738532110092
2018-03-15,2.95239583333333
2018-03-16,2.47982638888889
2018-03-17,2.07604166666667
2018-03-18,1.77631944444444
2018-03-19,1.75180555555556
2018-03-20,1.73006944444444
2018-03-21,1.58259649122807
2018-03-22,1.70475694444444
2018-03-23,2.00107638888889
2018-03-24,1.85252631578947
2018-03-25,1.51565972222222
2018-03-26,1.76150877192982
2018-03-27,1.86212996389892
2018-03-28,1.57935742971888
2018-03-29,1.28979166666667
2018-03-30,1.34840277777778
2018-03-31,1.3240625
2018-04-01,1.35569444444444
2018-04-02,1.24809027777778
2018-04-03,1.14923611111111
2018-04-04,1.20673611111111
2018-04-05,1.45795138888889
2018-04-06,1.27583333333333
2018-04-07,1.49631944444444
2018-04-08,1.63295138888889
2018-04-09,2.11763888888889
2018-04-10,2.00052631578947
2018-04-11,1.79868312757202
2018-04-12,1.64277777777778
2018-04-13,1.63517361111111
2018-04-14,1.3696875
2018-04-15,1.60288194444444
2018-04-16,1.78572916666667
2018-04-17,2.2728125
2018-04-18,2.23822916666667
2018-04-19,2.15996527777778
2018-04-20,2.03774305555556
2018-04-21,2.16923611111111
2018-04-22,2.12318385650224
2018-04-23,NA
2018-04-24,NA
2018-04-25,NA
2018-04-26,NA
2018-04-27,NA
2018-04-28,NA
2018-04-29,NA
2018-04-30,NA
2018-05-01,NA
2018-05-02,NA
2018-05-03,NA
2018-05-04,NA
2018-05-05,NA
2018-05-06,NA
2018-05-07,NA
2018-05-08,NA
2018-05-09,NA
2018-05-10,NA
2018-05-11,0.495756097560976
2018-05-12,1.07840277777778
2018-05-13,0.912569444444444
2018-05-14,0.961076388888889
2018-05-15,1.22552083333333
2018-05-16,1.40444444444444
2018-05-17,1.17006944444444
2018-05-18,1.32895833333333
2018-05-19,1.12121527777778
2018-05-20,1.19395833333333
2018-05-21,1.95255905511811
2018-05-22,3.09670138888889
2018-05-23,2.10145833333333
2018-05-24,2.06960714285714
2018-05-25,1.53913194444444
2018-05-26,2.09125
2018-05-27,1.74145833333333
2018-05-28,1.84087786259542
2018-05-29,1.96419512195122
2018-05-30,1.83777777777778
2018-05-31,2.14086805555556
2018-06-01,1.35288194444444
2018-06-02,1.91850694444444
2018-06-03,2.44288194444444
2018-06-04,1.96659722222222
