collectDate,dissolvedOxygen
2020-07-07 13:47:00,5.82
2020-10-13 12:34:00,6.25
2020-09-08 16:00:00,NA
2020-06-16 13:18:00,6.65
2020-05-05 04:00:00,NA
2020-04-07 04:00:00,NA
2020-03-03 14:30:00,8.95
2020-02-04 14:49:00,9.81
2020-01-07 14:01:00,8
2019-12-09 13:30:00,9.19
2019-11-04 15:00:00,6.21
2019-10-01 14:30:00,4.8
2019-03-05 16:11:00,7.29
2018-04-02 15:13:00,9.1
2018-04-30 16:07:00,7.88
2017-05-02 13:45:00,7.12
2017-05-02 14:02:00,7.4
2017-05-02 14:55:00,7.35
2019-04-11 14:42:00,8.8
2017-06-08 14:04:00,6.76
2017-06-08 14:30:00,7.34
2017-06-08 15:00:00,6.33
2017-06-27 12:51:00,6
2017-06-27 13:17:00,6.02
2017-06-27 13:45:00,6.27
2016-07-06 13:50:00,6.46
2016-07-06 14:30:00,5.22
2016-07-06 15:10:00,6.27
2018-06-05 17:08:00,7.37
2016-08-10 12:50:00,5.25
2016-08-10 13:20:00,5.23
2016-08-10 13:48:00,4.77
2019-05-08 14:32:00,6.62
2018-07-10 03:27:00,4.44
2018-07-31 14:30:00,4.73
2019-06-11 14:56:00,5.12
2016-09-07 14:38:00,6.53
2016-09-07 15:04:00,6.55
2016-09-07 15:35:00,6.89
2017-08-02 13:04:00,5.53
2017-08-02 13:27:00,4.74
2017-08-02 13:50:00,4.78
2017-09-05 13:30:00,5.9
2017-09-05 13:45:00,4.33
2017-09-05 14:08:00,5.24
2019-07-08 14:02:00,6.19
2016-10-12 14:25:00,6.69
2016-10-12 14:56:00,6.94
2016-10-12 15:30:00,7.15
2018-09-05 14:27:00,5.24
2017-10-10 14:03:00,6.63
2017-10-10 14:26:00,6.52
2017-10-10 14:54:00,6.21
2016-11-02 15:05:00,8.56
2016-11-02 15:30:00,8.08
2016-11-02 15:58:00,7.97
2019-08-13 16:46:00,6.05
2018-12-03 17:33:00,8.78
2016-12-13 15:29:00,8.3
2016-12-13 16:01:00,8.21
2016-12-13 16:41:00,8.48
2018-10-01 15:29:00,4.3
2017-11-07 16:05:00,7.23
2017-11-07 16:39:00,6.73
2017-11-07 16:57:00,7.36
2019-09-10 12:45:00,4.7
2018-11-05 16:12:00,6.81
2017-12-05 15:57:00,8.17
2017-12-05 16:14:00,8.21
2017-12-05 16:38:00,7.54
2019-01-07 19:20:00,9.55
2017-03-09 15:18:00,8.97
2017-03-09 15:40:00,7.29
2017-03-09 16:04:00,6.64
2018-03-05 15:46:00,8.72
2017-02-01 15:12:00,9.05
2017-02-01 15:47:00,8.94
2017-02-01 16:20:00,7.55
2018-02-06 15:45:00,10.24
2019-02-05 16:57:00,9.62
2017-04-05 13:53:00,7.24
2017-04-05 14:29:00,7.46
2017-04-05 14:55:00,7.33
2018-01-04 15:55:00,9.52
