date,secchiMeanDepth
2020-07-06 15:13:00,4.3
2020-07-07 13:33:00,4
2020-07-14 13:18:00,5.2
2020-06-16 12:51:00,4
2020-03-03 14:06:00,5.7
2020-02-04 14:35:00,5.1
2020-02-11 16:47:00,4.7
2020-02-18 14:23:00,4.9
2017-08-02 12:36:00,NA
2014-01-11 17:00:00,4.4
2015-08-27 16:00:00,NA
2016-09-07 16:00:00,4.6
2014-07-02 16:00:00,NA
2014-07-30 16:00:00,5
2014-07-31 16:00:00,NA
2015-12-28 17:00:00,NA
2018-06-05 16:16:00,5.6
2016-10-12 16:00:00,4.5
2017-05-02 13:27:00,NA
2019-03-05 15:40:00,4.9
2014-06-03 16:00:00,4.9
2019-02-05 15:35:00,6.2
2019-02-15 16:42:00,6.3
2019-02-20 15:13:00,6.8
2019-08-13 16:29:00,5.8
2015-11-05 17:00:00,NA
2015-11-20 17:00:00,NA
2017-06-08 13:17:00,3.5
2017-06-27 12:38:00,3
2017-06-28 12:21:00,3.4
2015-07-01 16:00:00,NA
2015-07-15 16:00:00,NA
2015-07-23 16:00:00,NA
2019-10-01 14:03:00,4.3
2019-10-29 12:54:00,6.2
2016-02-19 17:00:00,NA
2016-02-29 17:00:00,NA
2019-01-07 18:07:00,NA
2016-06-14 16:00:00,NA
2016-04-07 16:00:00,NA
2015-10-14 16:00:00,NA
2017-02-01 17:00:00,NA
2017-02-07 17:00:00,NA
2017-02-22 17:00:00,NA
2015-06-24 16:00:00,NA
2017-03-02 17:00:00,NA
2017-03-09 17:00:00,NA
2016-07-06 16:00:00,NA
2017-07-06 14:41:00,NA
2017-07-12 13:22:00,4.7
2017-07-18 13:09:00,NA
2019-11-04 15:00:00,5.3
2019-04-11 13:55:00,5.1
2017-09-05 13:08:00,3.3
2017-10-10 13:34:00,5.5
2017-10-31 15:55:00,NA
2020-01-07 14:29:00,5.1
2018-03-05 15:10:00,4.4
2018-07-09 14:21:00,5.1
2018-07-16 14:14:00,5.4
2018-07-31 13:15:00,3.9
2018-02-06 15:45:00,NA
2018-02-21 16:19:00,5.7
2018-02-22 19:00:00,6
2017-04-05 13:17:00,NA
2018-12-03 16:23:00,5.2
2019-06-11 14:31:00,4.6
2016-11-02 16:00:00,4.8
2014-04-15 16:00:00,4.7
2018-01-04 15:13:00,NA
2018-10-01 14:51:00,3.8
2019-05-08 13:45:00,5.2
2019-07-08 13:39:00,4.8
2019-07-16 12:28:00,6.4
2019-12-09 13:53:00,6
2017-12-05 15:33:00,NA
2018-11-05 15:56:00,4.9
2018-11-12 17:58:00,4.1
2018-04-03 02:42:00,5.8
2018-04-30 15:54:00,5.8
2019-09-10 12:18:00,5.3
2018-09-05 13:14:00,NA
2015-02-10 17:00:00,NA
2016-05-03 16:00:00,NA
2016-12-13 17:00:00,NA
2015-05-20 16:00:00,NA
2015-04-07 16:00:00,NA
2014-02-11 17:00:00,4.7
2016-08-10 16:00:00,4.5
2017-11-02 17:25:00,NA
2017-11-07 15:23:00,5.4
2017-11-09 16:56:00,NA
