Date,thermistorDepth,V1
2018-01-01,0.05,NA
2018-01-01,0.55,NA
2018-01-01,1.05,NA
2018-01-01,1.55,NA
2018-01-01,2.05,NA
2018-01-01,2.55,NA
2018-01-01,3.05,NA
2018-01-02,0.05,NA
2018-01-02,0.55,NA
2018-01-02,1.05,NA
2018-01-02,1.55,NA
2018-01-02,2.05,NA
2018-01-02,2.55,NA
2018-01-02,3.05,NA
2018-01-03,0.05,NA
2018-01-03,0.55,NA
2018-01-03,1.05,NA
2018-01-03,1.55,NA
2018-01-03,2.05,NA
2018-01-03,2.55,NA
2018-01-03,3.05,NA
2018-01-04,0.05,NA
2018-01-04,0.55,NA
2018-01-04,1.05,NA
2018-01-04,1.55,NA
2018-01-04,2.05,NA
2018-01-04,2.55,NA
2018-01-04,3.05,NA
2018-01-05,0.05,NA
2018-01-05,0.55,NA
2018-01-05,1.05,NA
2018-01-05,1.55,NA
2018-01-05,2.05,NA
2018-01-05,2.55,NA
2018-01-05,3.05,NA
2018-01-06,0.05,NA
2018-01-06,0.55,NA
2018-01-06,1.05,NA
2018-01-06,1.55,NA
2018-01-06,2.05,NA
2018-01-06,2.55,NA
2018-01-06,3.05,NA
2018-01-07,0.05,NA
2018-01-07,0.55,NA
2018-01-07,1.05,NA
2018-01-07,1.55,NA
2018-01-07,2.05,NA
2018-01-07,2.55,NA
2018-01-07,3.05,NA
2018-01-08,0.05,NA
2018-01-08,0.55,NA
2018-01-08,1.05,NA
2018-01-08,1.55,NA
2018-01-08,2.05,NA
2018-01-08,2.55,NA
2018-01-08,3.05,NA
2018-01-09,0.05,NA
2018-01-09,0.55,NA
2018-01-09,1.05,NA
2018-01-09,1.55,NA
2018-01-09,2.05,NA
2018-01-09,2.55,NA
2018-01-09,3.05,NA
2018-01-10,0.05,NA
2018-01-10,0.55,NA
2018-01-10,1.05,NA
2018-01-10,1.55,NA
2018-01-10,2.05,NA
2018-01-10,2.55,NA
2018-01-10,3.05,NA
2018-01-11,0.05,NA
2018-01-11,0.55,NA
2018-01-11,1.05,NA
2018-01-11,1.55,NA
2018-01-11,2.05,NA
2018-01-11,2.55,NA
2018-01-11,3.05,NA
2018-01-12,0.05,NA
2018-01-12,0.55,NA
2018-01-12,1.05,NA
2018-01-12,1.55,NA
2018-01-12,2.05,NA
2018-01-12,2.55,NA
