collectDate,value
2015-05-05,0.044
2015-05-05,0.031
2015-06-02,0.065
2015-06-02,0.085
2016-10-18,0.019
2016-10-18,0.232
2016-11-08,0.207
2016-11-08,0.473
2016-11-21,0.145
2017-02-07,0.025
2017-03-08,0.249
2017-04-18,0.099
2017-04-18,0.121
2017-05-02,0.049
2017-05-02,0.112
2017-06-06,0.111
2017-06-06,0.105
2017-07-11,0.081
2017-07-11,0.105
2017-07-11,0.127
2017-07-11,0.23
2017-07-11,0.22
2017-07-11,0.231
2017-08-01,0.0691
2017-08-01,0.2873
2017-08-29,0.1059
2017-08-29,0.1407
2017-08-29,0.0996
2017-08-29,0.3743
2017-08-29,0.3509
2017-08-29,0.3592
2017-10-03,0.1293
2017-10-03,0.3323
2017-10-16,0.1224
2017-10-16,0.6117
2017-11-07,0.1782
2018-02-13,0.191
2018-03-05,0.0685
2018-05-07,0.2032
2018-05-07,0.2425
2018-05-22,0.092
2018-05-22,0.0143
2018-06-05,0.096
2018-06-05,0.0047
2018-07-10,0.0091
2018-07-10,0.1216
2018-08-07,0.051
2018-08-07,0.3615
2018-09-11,0.2898
2018-09-11,0.0122
2018-10-02,0.0603
2018-10-02,0.2987
2018-10-16,0.0605
2018-10-16,0.5524
2018-11-06,0
2019-01-07,0
2019-02-18,0.0713
2019-03-04,NA
2019-05-01,0.0386
2019-05-22,0.1169
2019-05-22,0.1704
2019-06-04,0.0474
2019-06-04,0.1164
2019-07-09,0.0525
2019-07-09,0.0607
2019-07-09,0.2501
2019-07-09,0.2712
2019-08-06,0.0103
2019-08-06,0.1762
2019-09-09,0.086
2019-09-09,0.0426
2019-09-09,0.0185
2019-09-09,0.3253
2019-09-09,0.2718
2019-09-09,0.2687
2019-10-01,0.0421
2019-10-01,0.1398
2019-10-15,0.114
2019-10-15,0.1475
2019-10-15,0.0502
2019-10-15,0.318
2019-10-15,0.3801
2019-10-15,0.3631
