collectDate,value
2015-05-05,0.3034
2015-05-05,0.3118
2015-06-02,0.2485
2015-06-02,0.3417
2016-10-18,0.2539
2016-10-18,0.4397
2016-11-08,0.2764
2016-11-08,0.551
2016-11-21,0.277
2017-02-07,0.3169
2017-03-08,0.467
2017-04-18,0.3052
2017-04-18,0.3449
2017-05-02,0.3447
2017-05-02,0.343
2017-06-06,0.2952
2017-06-06,0.406
2017-07-11,0.3196
2017-07-11,0.3537
2017-07-11,0.3393
2017-07-11,0.4314
2017-07-11,0.4235
2017-07-11,0.4306
2017-08-01,0.2747
2017-08-01,0.4425
2017-08-29,0.3306
2017-08-29,0.3157
2017-08-29,0.2916
2017-08-29,0.5565
2017-08-29,0.528
2017-08-29,0.5433
2017-10-03,0.327
2017-10-03,0.5677
2017-10-16,0.3103
2017-10-16,0.7126
2017-11-07,0.23
2018-02-13,0.256
2018-03-05,0.2805
2018-05-07,0.5357
2018-05-07,0.5175
2018-05-22,0.4902
2018-05-22,0.4827
2018-06-05,0.3424
2018-06-05,0.2203
2018-07-10,0.2968
2018-07-10,0.3426
2018-08-07,0.2927
2018-08-07,0.5037
2018-09-11,0.4154
2018-09-11,0.2522
2018-10-02,0.2721
2018-10-02,0.4827
2018-10-16,0.2361
2018-10-16,0.8338
2018-11-06,0.344
2019-01-07,0.3629
2019-02-18,0.4162
2019-03-04,0.3494
2019-05-01,0.3144
2019-05-22,0.3515
2019-05-22,NA
2019-06-04,0.2725
2019-06-04,NA
2019-07-09,0.2601
2019-07-09,0.2597
2019-07-09,0.4304
2019-07-09,0.4157
2019-08-06,0.227
2019-08-06,0.3152
2019-09-09,0.2895
2019-09-09,0.297
2019-09-09,0.2617
2019-09-09,0.4734
2019-09-09,0.5363
2019-09-09,0.4984
2019-10-01,0.2126
2019-10-01,0.3616
2019-10-15,0.2218
2019-10-15,0.2428
2019-10-15,0.249
2019-10-15,0.3368
2019-10-15,0.3279
2019-10-15,0.3292
