collectDate,dissolvedOxygen
2020-10-06 16:02:00,8.67
2020-10-06 16:20:00,0.08
2020-07-06 13:35:00,7.65
2020-07-06 13:51:00,0.17
2020-09-01 17:30:00,8.66
2020-09-01 17:41:00,0.19
2020-08-04 15:41:00,7.72
2020-08-04 16:34:00,0.05
2020-03-02 15:55:00,9.34
2020-02-03 16:47:00,9.88
2020-01-06 17:24:00,10.03
2019-11-05 15:37:00,9.35
2019-10-01 14:53:00,8.38
2019-10-01 15:06:00,NA
2019-10-15 14:41:00,8.67
2019-10-15 15:10:00,0.06
2019-05-01 15:11:00,8.75
2019-05-22 14:51:00,9.62
2019-05-22 15:15:00,NA
2017-07-11 14:41:00,9.94
2017-07-11 15:11:00,9.01
2017-07-11 16:22:00,8.84
2017-07-11 16:23:00,0.92
2016-08-09 15:40:00,7.5
2016-08-09 16:40:00,7.7
2016-08-09 18:20:00,7.8
2016-08-09 19:30:00,1
2016-08-09 19:30:00,NA
2017-02-07 17:15:00,12.05
2019-06-04 17:20:00,8.95
2019-06-04 17:42:00,NA
2017-08-01 14:16:00,8.11
2017-08-01 14:58:00,8.16
2017-08-01 15:43:00,8.35
2017-08-01 15:59:00,8.84
2017-08-29 14:25:00,NA
2017-08-29 14:42:00,NA
2017-08-29 15:25:00,NA
2017-08-29 15:40:00,NA
2016-09-07 14:50:00,7.2
2016-09-07 15:20:00,7.3
2016-09-07 16:15:00,7.4
2016-09-07 16:45:00,0
2016-09-07 19:30:00,NA
2016-09-27 15:57:00,7.7
2016-09-27 16:30:00,7.5
2016-09-27 17:20:00,7.8
2016-09-27 17:35:00,0
2016-09-27 21:00:00,NA
2018-07-10 16:03:00,3.05
2018-07-10 16:28:00,NA
2019-01-07 16:35:00,NA
2018-02-13 18:28:00,11.35
2017-03-08 15:30:00,NA
2016-10-18 15:20:00,9.5
2016-10-18 15:45:00,0
2016-10-18 18:15:00,NA
2019-07-09 14:55:00,7.34
2019-07-09 15:20:00,NA
2018-08-07 15:38:00,NA
2018-08-07 15:39:00,NA
2019-08-06 15:46:00,8.26
2019-08-06 16:06:00,NA
2018-09-11 14:16:00,NA
2018-09-11 14:58:00,8.25
2017-10-03 14:40:00,NA
2017-10-03 15:01:00,NA
2017-10-03 16:11:00,NA
2017-10-03 16:55:00,NA
2017-10-16 14:49:00,NA
2017-10-16 15:32:00,NA
2017-10-16 16:02:00,NA
2017-10-16 16:16:00,NA
2016-11-08 15:55:00,11.9
2016-11-08 16:20:00,12
2016-11-08 17:15:00,11.7
2016-11-08 17:45:00,0
2016-11-21 15:10:00,10.9
2016-11-21 15:35:00,10.7
2016-11-21 16:15:00,10.4
2018-03-05 15:30:00,10.59
2017-04-18 14:20:00,13
2017-04-18 14:55:00,13
2017-04-18 15:45:00,12.8
2017-04-18 16:30:00,9.58
2017-04-18 20:43:00,NA
2019-02-18 17:45:00,11.73
2019-03-04 20:19:00,9.85
2017-05-02 14:55:00,NA
2017-05-02 15:25:00,NA
2017-05-02 16:13:00,NA
2017-05-02 16:27:00,NA
2016-06-07 14:45:00,8.5
2016-06-07 16:06:00,8.8
2016-06-07 18:40:00,9.1
2016-06-07 19:03:00,4.7
2016-06-07 20:50:00,NA
2018-05-07 15:38:00,8.21
2018-05-07 16:29:00,NA
2018-05-22 15:44:00,NA
2018-05-22 15:45:00,11.18
2017-06-06 14:38:00,10.8
2017-06-06 15:03:00,8.68
2017-06-06 15:34:00,9.07
2017-06-06 16:21:00,4.7
2016-07-05 15:15:00,7.6
2016-07-05 15:55:00,7.4
2016-07-05 16:40:00,8.3
2016-07-05 17:35:00,NA
2016-07-05 17:35:00,NA
2016-07-05 17:35:00,1.4
2018-06-05 17:20:00,NA
2018-06-05 17:40:00,8.81
2017-11-07 16:10:00,NA
2017-11-07 16:28:00,NA
2017-11-07 17:08:00,NA
2019-09-09 14:53:00,8.22
2019-09-09 15:43:00,NA
2018-10-02 15:58:00,8.99
2018-10-02 15:59:00,NA
2018-10-16 16:35:00,9.77
2018-10-16 16:49:00,NA
2018-11-06 16:42:00,11.97
