date,secchiMeanDepth
2020-10-06 15:42:00,4.2
2020-09-01 17:04:00,3.4
2020-09-28 15:28:00,4.3
2020-08-04 14:58:00,4.3
2020-07-06 13:04:00,4.9
2020-07-15 14:59:00,5.1
2020-06-08 15:09:00,4.5
2020-03-02 15:47:00,NA
2020-02-03 16:32:00,NA
2018-10-02 15:29:00,4.2
2018-10-16 16:02:00,3.6
2018-11-06 16:23:00,4.4
2015-07-13 17:00:00,3.5
2015-05-05 17:00:00,5.2
2015-05-13 17:00:00,6.2
2019-08-06 13:31:00,4.6
2019-05-01 14:22:00,3.6
2019-05-08 14:36:00,3
2019-05-22 14:32:00,3.1
2015-10-26 17:00:00,4.4
2015-11-17 18:00:00,3.7
2019-02-18 17:05:00,NA
2017-06-06 15:35:00,4
2018-06-05 16:16:00,3.9
2016-06-07 17:00:00,4.1
2017-07-05 15:14:00,3.1
2017-07-11 15:35:00,3.6
2017-07-17 17:55:00,3.3
2017-09-14 15:36:00,3.3
2015-08-04 17:00:00,3.7
2019-01-07 17:35:00,NA
2018-07-10 15:15:00,3.4
2018-07-16 13:52:00,3.5
2018-08-07 15:23:00,3.8
2017-08-01 15:12:00,3.8
2017-08-29 15:00:00,3.4
2015-09-01 17:00:00,4.4
2015-09-14 17:00:00,5.3
2015-09-29 17:00:00,5.8
2016-07-05 17:00:00,3.5
2016-07-13 17:00:00,3.8
2019-06-04 16:44:00,4
2017-10-03 15:49:00,3.8
2017-10-16 15:45:00,3.9
2015-06-02 17:00:00,3.4
2015-06-29 17:00:00,4.2
2016-09-07 17:00:00,3.8
2016-09-19 17:00:00,3.4
2016-09-27 17:00:00,3.5
2016-04-19 17:00:00,3.9
2016-04-26 17:00:00,3.5
2016-04-29 17:00:00,3.7
2018-03-05 15:20:00,NA
2017-05-02 16:09:00,2.8
2017-05-03 14:34:00,3.5
2016-11-08 18:00:00,4.2
2016-11-21 18:00:00,3.7
2018-09-11 13:29:00,3.9
2018-09-27 21:30:00,5.2
2020-01-06 17:02:00,NA
2019-03-04 20:00:00,NA
2017-04-18 15:23:00,2.7
2016-03-01 18:00:00,NA
2016-05-10 17:00:00,3.1
2016-05-13 17:00:00,6.2
2018-05-07 14:56:00,4.1
2018-05-10 15:09:00,2.7
2018-05-22 15:01:00,3
2019-07-09 14:29:00,3.4
2019-07-11 14:32:00,3.5
2016-10-18 17:00:00,3.5
2019-09-09 14:13:00,4.1
2019-09-25 15:54:00,4.7
2019-10-01 14:30:00,4.1
2019-10-15 14:25:00,3.7
2019-11-05 15:17:00,3.7
2018-02-13 18:11:00,NA
