collectDate,value
2017-04-11,0.083
2017-05-01,0.054
2017-06-05,0.076
2017-07-10,0.018
2017-07-31,0.0783
2017-08-28,0.102
2017-10-02,0.1733
2017-10-23,NA
2017-11-06,0.1135
2018-02-12,0.2386
2018-03-06,0.0987
2018-05-14,0.0318
2018-05-14,0.075
2018-05-21,0.0529
2018-05-21,0.0896
2018-06-04,0.0223
2018-06-04,0.0578
2018-07-02,NA
2018-07-02,NA
2018-08-06,0.045
2018-09-04,0.024
2018-10-01,0.069
2018-10-22,0.0142
2018-11-05,0
2019-02-05,0.0729
2019-03-05,0.1443
2019-04-30,0.0251
2019-05-13,0.0795
2019-05-13,0.04
2019-06-03,0.0869
2019-07-01,0.046
2019-07-01,0.0331
2019-07-01,0.0465
2019-07-01,0.0422
2019-08-05,0.0109
2019-09-04,0.0281
2019-09-04,0.0968
2019-09-30,0.0473
2019-10-22,0.1142
2019-10-22,0.1591
2019-10-22,0.2372
