collectDate,value
2017-04-11,0.37
2017-05-01,0.2726
2017-06-05,0.278
2017-07-10,0.3183
2017-07-31,0.3136
2017-08-28,0.2862
2017-10-02,0.1304
2017-10-23,0.1897
2017-11-06,0.2041
2018-02-12,0.3163
2018-03-06,0.3402
2018-05-14,0.3998
2018-05-14,0.5278
2018-05-21,0.5042
2018-05-21,0.4433
2018-06-04,0.2534
2018-06-04,0.3272
2018-07-02,NA
2018-07-02,NA
2018-08-06,0.3478
2018-09-04,0.316
2018-10-01,0.3234
2018-10-22,0.3433
2018-11-05,0.5473
2019-02-05,0.453
2019-03-05,0.3819
2019-04-30,0.3061
2019-05-13,0.2884
2019-05-13,0.3087
2019-06-03,0.2546
2019-07-01,0.2768
2019-07-01,0.2661
2019-07-01,0.2926
2019-07-01,0.2835
2019-08-05,0.2162
2019-09-04,0.2564
2019-09-04,0.2491
2019-09-30,0.2789
2019-10-22,0.2644
2019-10-22,0.2721
2019-10-22,0.25
