Date,V1
2017-10-11,NA
2017-10-12,NA
2017-10-13,NA
2017-10-14,NA
2017-10-15,NA
2017-10-16,NA
2017-10-17,NA
2017-10-18,NA
2017-10-19,NA
2017-10-20,NA
2017-10-21,NA
2017-10-22,NA
2017-10-23,NA
2017-10-24,NA
2017-10-25,NA
2017-10-26,NA
2017-10-27,NA
2017-10-28,NA
2017-10-29,NA
2017-10-30,NA
2017-10-31,NA
2017-11-01,NA
2017-11-02,NA
2017-11-03,NA
2017-11-04,NA
2017-11-05,NA
2017-11-06,NA
2017-11-07,NA
2017-11-08,NA
2017-11-09,NA
2017-11-10,1.55
2017-11-11,1.8559375
2017-11-12,2.43
2017-11-13,2.89074074074074
2017-11-14,2.61867841409692
2018-05-15,NA
2018-05-16,NA
2018-05-17,NA
2018-05-18,NA
2018-05-19,NA
2018-05-20,NA
2018-05-21,NA
2018-05-22,NA
2018-05-23,NA
2018-05-24,NA
2018-05-25,NA
2018-05-26,NA
2018-05-27,NA
2018-05-28,NA
2018-05-29,NA
2018-05-30,NA
2018-05-31,NA
2018-06-01,NA
2018-06-02,NA
2018-06-03,NA
2018-06-04,NA
2018-06-05,NA
2018-06-06,NA
2018-06-07,NA
2018-06-08,NA
2018-06-09,NA
2018-06-10,NA
2018-06-11,NA
2018-06-12,NA
2018-06-13,NA
2018-06-14,NA
2018-06-15,NA
2018-06-16,NA
2018-06-17,NA
2018-06-18,NA
2018-06-19,NA
2018-06-20,NA
2018-06-21,NA
2018-06-22,NA
2018-06-23,NA
2018-06-24,NA
2018-06-25,NA
2018-06-26,NA
2018-06-27,NA
2018-06-28,NA
2018-06-29,NA
2018-06-30,NA
2018-07-01,NA
2018-07-02,NA
2018-07-03,NA
2018-07-04,NA
2018-07-05,NA
2018-07-06,NA
2018-07-07,NA
2018-07-08,NA
2018-07-09,NA
2018-07-10,NA
2018-07-11,NA
2018-07-12,NA
2018-07-13,NA
2018-07-14,NA
2018-07-15,NA
2018-07-16,NA
2018-07-17,2.2046218487395
2018-07-18,2.78073684210526
2018-07-19,2.48198606271777
2018-07-20,2.77581881533101
2018-07-21,2.5409375
2018-07-22,2.25850174216028
2018-07-23,2.05741258741259
2018-07-24,2.12954861111111
2018-07-25,2.83925196850394
2018-07-26,3.78763888888889
2018-07-27,3.74978947368421
2018-07-28,3.59954861111111
2018-07-29,3.18161971830986
2018-07-30,2.93323943661972
2018-07-31,2.30315972222222
2018-08-01,2.61121951219512
2018-08-02,3.52448
2018-08-03,3.37829861111111
2018-08-04,3.24631578947368
2018-08-05,3.44390243902439
2018-08-06,2.18215277777778
2018-08-07,3.20076388888889
2018-08-08,3.12899613899614
2018-08-09,3.06989583333333
2018-08-10,2.7511743772242
2018-08-11,2.77038194444444
2018-08-12,2.20940972222222
2018-08-13,1.93269230769231
2018-08-14,1.91993055555556
2018-08-15,2.11347222222222
2018-08-16,2.35056737588652
2018-08-17,2.33854609929078
2018-08-18,2.61705263157895
2018-08-19,2.51243902439024
2018-08-20,2.83040609137056
2018-08-21,3.09568345323741
2018-08-22,2.83384057971015
2018-08-23,2.71278745644599
2018-08-24,3.28059649122807
2018-08-25,3.41355633802817
2018-08-26,3.36933333333333
2018-08-27,3.38080701754386
2018-08-28,3.62857707509881
2018-08-29,3.25503546099291
2018-08-30,2.92021201413428
2018-08-31,2.91164912280702
2018-09-01,3.08363636363636
2018-09-02,3.12712280701754
2018-09-03,2.9804181184669
2018-09-04,3.17690972222222
2018-09-05,3.40673611111111
2018-09-06,3.00545138888889
2018-09-07,2.60665369649805
2018-09-08,3.45639285714286
2018-09-09,3.35582456140351
2018-09-10,3.55971731448763
2018-09-11,3.15827464788732
2018-09-12,3.18360424028269
2018-09-13,2.76578397212544
2018-09-14,2.85757462686567
2018-09-15,3.4280985915493
2018-09-16,3.29218309859155
2018-09-17,3.51320422535211
2018-09-18,4.61152482269504
2018-09-19,5.97255319148936
2018-09-20,5.99053191489362
2018-09-21,5.52751773049645
2018-09-22,6.05177304964539
2018-09-23,4.9954609929078
2018-09-24,4.78052447552448
2018-09-25,5.23833333333333
2018-09-26,5.78288194444444
2018-09-27,5.70048611111111
2018-09-28,6.0165625
2018-09-29,9.55152777777778
2018-09-30,8.78666666666667
2018-10-01,6.35274305555556
2018-10-02,7.88434027777778
2018-10-03,5.30756944444444
2018-10-04,4.50783882783883
2018-10-05,4.0841134751773
2018-10-06,4.27879432624113
2018-10-07,4.0036170212766
2018-10-08,3.99765957446809
2018-10-09,4.22421985815603
2018-10-10,3.44436170212766
2018-10-11,3.17386524822695
2018-10-12,3.18251773049645
2018-10-13,3.11663120567376
2018-10-14,3.01195035460993
2018-10-15,2.67317689530686
2018-10-16,2.58343065693431
2018-10-17,NA
2018-10-18,NA
2018-10-19,NA
