collectDate,dissolvedOxygen
2020-10-05 15:42:00,7.4
2020-06-29 16:03:00,7.43
2020-05-11 19:36:00,NA
2020-08-03 15:39:00,6.17
2020-03-03 19:05:00,5.91
2020-02-04 19:35:00,6.3
2020-01-21 19:40:00,6.92
2019-11-04 16:19:00,9.94
2019-10-22 15:16:00,8.56
2019-07-01 15:09:00,6.78
2019-07-01 15:35:00,6.78
2018-08-06 15:45:00,NA
2019-06-03 15:38:00,8.33
2017-08-28 14:30:00,NA
2017-08-28 15:12:00,NA
2017-08-28 15:34:00,NA
2018-07-02 13:47:00,3.4
2018-07-02 13:50:00,NA
2019-09-04 14:42:00,7.65
2019-09-30 15:43:00,7.63
2018-10-01 14:32:00,7.34
2018-10-22 15:22:00,10.17
2019-08-05 15:15:00,6.95
2018-09-04 15:01:00,7.33
2017-10-02 14:50:00,NA
2017-10-02 15:41:00,NA
2017-10-02 16:00:00,NA
2017-10-23 15:06:00,NA
2017-10-23 15:42:00,NA
2017-10-23 16:11:00,NA
2018-05-14 15:16:00,10.25
2018-05-14 15:32:00,NA
2018-05-21 16:45:00,NA
2018-05-21 16:54:00,11.12
2019-04-30 16:10:00,8.99
2017-06-05 14:55:00,7.81
2017-06-05 15:25:00,8.04
2017-06-05 16:28:00,7.9
2019-03-05 20:16:00,9.9
2017-05-01 15:42:00,10.17
2017-05-01 16:27:00,11.11
2017-05-01 18:02:00,9.55
2018-06-04 16:08:00,8.26
2018-06-04 16:16:00,NA
2019-05-13 16:55:00,10.45
2019-05-13 17:06:00,2.32
2017-07-10 14:36:00,7.53
2017-07-10 15:07:00,7.81
2017-07-10 15:48:00,8.27
2017-07-31 14:34:00,6.14
2017-07-31 15:03:00,7.05
2017-07-31 15:54:00,6.54
2018-11-05 15:33:00,10.5
2018-03-06 18:01:00,5.22
2019-01-22 17:16:00,8.24
2019-02-05 18:20:00,8.7
2017-04-11 15:20:00,9.1
2017-04-11 16:00:00,10.99
2017-04-11 16:50:00,8.71
2018-02-12 17:40:00,1.9
