date,secchiMeanDepth
2020-10-05 15:16:00,4.8
2020-09-08 15:16:00,3.5
2020-09-10 16:10:00,4.5
2020-08-03 15:18:00,3.7
2020-07-22 15:09:00,4.2
2020-06-16 15:49:00,4.6
2020-06-29 15:37:00,3.5
2020-03-03 18:56:00,NA
2020-02-04 19:23:00,NA
2019-08-05 14:46:00,3.9
2019-05-13 16:26:00,4.8
2019-05-15 16:38:00,4.2
2018-10-01 14:14:00,3.7
2018-10-22 15:08:00,4.1
2018-05-14 14:56:00,3.7
2018-05-17 14:53:00,3.9
2018-05-21 16:18:00,3.6
2019-01-22 17:17:00,NA
2019-11-05 04:11:00,3.8
2019-07-01 14:49:00,2.4
2019-07-24 15:53:00,3.1
2017-10-02 15:24:00,3.4
2017-10-23 15:35:00,3.9
2017-06-05 16:08:00,3.6
2019-09-04 14:15:00,4.3
2019-09-10 14:52:00,4.3
2019-09-30 15:23:00,4.1
2017-04-11 16:24:00,3.2
2017-04-24 16:34:00,4.4
2019-06-03 15:11:00,4.7
2017-08-28 14:59:00,4.4
2019-10-22 14:43:00,3.7
2017-09-06 16:04:00,3.8
2018-06-04 15:31:00,4
2020-01-21 19:28:00,NA
2018-02-12 17:21:00,NA
2018-11-05 15:17:00,4
2018-09-04 14:45:00,5
2018-09-11 15:53:00,4.3
2017-05-01 16:02:00,3.6
2017-07-10 15:13:00,4.5
2017-07-19 16:23:00,3.8
2017-07-31 15:13:00,3.9
2019-04-30 15:49:00,2.4
2018-08-06 14:43:00,4.2
2017-11-06 16:51:00,4.6
2018-07-02 13:28:00,2.2
2018-07-23 15:03:00,4.2
2018-03-06 17:46:00,NA
2019-02-05 18:09:00,NA
2019-03-05 20:06:00,NA
