Date,V1
2017-10-11,NA
2017-10-12,NA
2017-10-13,NA
2017-10-14,NA
2017-10-15,NA
2017-10-16,NA
2017-10-17,NA
2017-10-18,NA
2017-10-19,NA
2017-10-20,NA
2017-10-21,NA
2017-10-22,NA
2017-10-23,NA
2017-10-24,NA
2017-10-25,NA
2017-10-26,NA
2017-10-27,NA
2017-10-28,NA
2017-10-29,NA
2017-10-30,NA
2017-10-31,NA
2017-11-01,NA
2017-11-02,NA
2017-11-03,NA
2017-11-04,NA
2017-11-05,NA
2017-11-06,6.64615384615385
2017-11-07,6.7375
2017-11-08,6.87578947368421
2017-11-09,7.00425531914894
2017-11-10,7.16881720430108
2017-11-11,7.31758241758242
2017-11-12,7.42916666666667
2017-11-13,7.43368421052632
2017-11-14,7.51184210526316
2017-11-15,NA
2018-05-15,NA
2018-05-16,NA
2018-05-17,NA
2018-05-18,NA
2018-05-19,NA
2018-05-20,NA
2018-05-21,NA
2018-05-22,NA
2018-05-23,NA
2018-05-24,NA
2018-05-25,NA
2018-05-26,NA
2018-05-27,NA
2018-05-28,NA
2018-05-29,NA
2018-05-30,NA
2018-05-31,NA
2018-06-01,NA
2018-06-02,NA
2018-06-03,NA
2018-06-04,NA
2018-06-05,NA
2018-06-06,NA
2018-06-07,NA
2018-06-08,NA
2018-06-09,NA
2018-06-10,NA
2018-06-11,NA
2018-06-12,NA
2018-06-13,NA
2018-06-14,NA
2018-06-15,NA
2018-06-16,NA
2018-06-17,NA
2018-06-18,NA
2018-06-19,NA
2018-06-20,NA
2018-06-21,NA
2018-06-22,NA
2018-06-23,NA
2018-06-24,NA
2018-06-25,NA
2018-06-26,NA
2018-06-27,NA
2018-06-28,NA
2018-06-29,NA
2018-06-30,NA
2018-07-01,NA
2018-07-02,NA
2018-07-03,NA
2018-07-04,NA
2018-07-05,NA
2018-07-06,NA
2018-07-07,NA
2018-07-08,NA
2018-07-09,NA
2018-07-10,NA
2018-07-11,NA
2018-07-12,NA
2018-07-13,NA
2018-07-14,NA
2018-07-15,NA
2018-07-16,4.14285714285714
2018-07-17,4.2468085106383
2018-07-18,4.43645833333333
2018-07-19,4.49684210526316
2018-07-20,4.50106382978723
2018-07-21,4.471875
2018-07-22,4.378125
2018-07-23,4.26526315789474
2018-07-24,4.21276595744681
2018-07-25,4.22
2018-07-26,NA
2018-07-27,NA
2018-07-28,NA
2018-07-29,NA
2018-07-30,NA
2018-07-31,NA
2018-08-01,NA
2018-08-02,4.29444444444444
2018-08-03,4.16145833333333
2018-08-04,4.26222222222222
2018-08-05,4.26236559139785
2018-08-06,4.10361445783133
2018-08-07,4.13908045977012
2018-08-08,4.15813953488372
2018-08-09,4.11397849462366
2018-08-10,4.25824175824176
2018-08-11,4.26145833333333
2018-08-12,4.2875
2018-08-13,4.34787234042553
2018-08-14,4.38854166666667
2018-08-15,4.425
2018-08-16,4.44105263157895
2018-08-17,4.43645833333333
2018-08-18,4.44895833333333
2018-08-19,4.52736842105263
2018-08-20,4.5134328358209
2018-08-21,4.5
2018-08-22,4.46263736263736
2018-08-23,4.5032967032967
2018-08-24,4.56021505376344
2018-08-25,4.60105263157895
2018-08-26,4.64555555555556
2018-08-27,4.71595744680851
2018-08-28,4.79852941176471
2018-08-29,NA
2018-08-30,NA
2018-08-31,NA
2018-09-01,NA
2018-09-02,NA
2018-09-03,NA
2018-09-04,NA
2018-09-05,NA
2018-09-06,NA
2018-09-07,NA
2018-09-08,NA
2018-09-09,NA
2018-09-10,NA
2018-09-11,NA
2018-09-12,NA
2018-09-13,NA
2018-09-14,NA
2018-09-15,NA
2018-09-16,NA
2018-09-17,NA
2018-09-18,NA
2018-09-19,NA
2018-09-20,NA
2018-09-21,NA
2018-09-22,NA
2018-09-23,NA
2018-09-24,NA
2018-09-25,NA
2018-09-26,NA
2018-09-27,NA
2018-09-28,NA
2018-09-29,NA
2018-09-30,NA
2018-10-01,NA
2018-10-02,NA
2018-10-03,NA
2018-10-04,NA
2018-10-05,NA
2018-10-06,NA
2018-10-07,NA
2018-10-08,NA
2018-10-09,NA
2018-10-10,NA
2018-10-11,NA
2018-10-12,NA
2018-10-13,NA
2018-10-14,NA
2018-10-15,NA
2018-10-16,NA
2018-10-17,NA
2018-10-18,NA
2018-10-19,NA
2018-10-20,NA
2018-10-21,NA
2018-10-22,NA
2018-10-23,NA
2018-10-24,NA
2018-10-25,NA
2018-10-26,NA
2018-10-27,NA
2018-10-28,NA
2018-10-29,NA
2018-10-30,NA
2018-10-31,NA
2018-11-01,NA
2018-11-02,NA
2018-11-03,NA
2019-04-29,3.20714285714286
2019-04-30,3.46736842105263
2019-05-01,3.50222222222222
2019-05-02,3.43804347826087
2019-05-03,3.29677419354839
2019-05-04,3.16276595744681
