Date,thermistorDepth,V1
2018-05-10,0.05,NA
2018-05-10,0.5,NA
2018-05-10,1,NA
2018-05-10,1.5,NA
2018-05-10,2,NA
2018-05-10,2.5,NA
2018-05-10,3,NA
2018-05-10,3.5,NA
2018-05-10,4,NA
2018-05-10,4.5,NA
2018-05-11,0.05,NA
2018-05-11,0.5,NA
2018-05-11,1,NA
2018-05-11,1.5,NA
2018-05-11,2,NA
2018-05-11,2.5,NA
2018-05-11,3,NA
2018-05-11,3.5,NA
2018-05-11,4,NA
2018-05-11,4.5,NA
2018-05-12,0.05,NA
2018-05-12,0.5,NA
2018-05-12,1,NA
2018-05-12,1.5,NA
2018-05-12,2,NA
2018-05-12,2.5,NA
2018-05-12,3,NA
2018-05-12,3.5,NA
2018-05-12,4,NA
2018-05-12,4.5,NA
2018-05-13,0.05,NA
2018-05-13,0.5,NA
2018-05-13,1,NA
2018-05-13,1.5,NA
2018-05-13,2,NA
2018-05-13,2.5,NA
2018-05-13,3,NA
2018-05-13,3.5,NA
2018-05-13,4,NA
2018-05-13,4.5,NA
2018-05-14,0.05,NA
2018-05-14,0.5,NA
2018-05-14,1,NA
2018-05-14,1.5,NA
2018-05-14,2,NA
2018-05-14,2.5,NA
2018-05-14,3,NA
2018-05-14,3.5,NA
2018-05-14,4,NA
2018-05-14,4.5,NA
2018-05-15,0.05,NA
2018-05-15,0.5,NA
2018-05-15,1,NA
2018-05-15,1.5,NA
2018-05-15,2,NA
2018-05-15,2.5,NA
2018-05-15,3,NA
2018-05-15,3.5,NA
2018-05-15,4,NA
2018-05-15,4.5,NA
2018-05-16,0.05,NA
2018-05-16,0.5,NA
2018-05-16,1,NA
2018-05-16,1.5,NA
2018-05-16,2,NA
2018-05-16,2.5,NA
2018-05-16,3,NA
2018-05-16,3.5,NA
2018-05-16,4,NA
2018-05-16,4.5,NA
2018-05-17,0.05,NA
2018-05-17,0.5,NA
2018-05-17,1,NA
2018-05-17,1.5,NA
2018-05-17,2,NA
2018-05-17,2.5,NA
2018-05-17,3,NA
2018-05-17,3.5,NA
2018-05-17,4,NA
2018-05-17,4.5,NA
2018-05-18,0.05,NA
2018-05-18,0.5,NA
2018-05-18,1,NA
2018-05-18,1.5,NA
2018-05-18,2,NA
2018-05-18,2.5,NA
2018-05-18,3,NA
2018-05-18,3.5,NA
2018-05-18,4,NA
2018-05-18,4.5,NA
2018-05-19,0.05,NA
2018-05-19,0.5,NA
2018-05-19,1,NA
2018-05-19,1.5,NA
2018-05-19,2,NA
2018-05-19,2.5,NA
2018-05-19,3,NA
2018-05-19,3.5,NA
2018-05-19,4,NA
2018-05-19,4.5,NA
2018-05-20,0.05,NA
2018-05-20,0.5,NA
2018-05-20,1,NA
2018-05-20,1.5,NA
2018-05-20,2,NA
2018-05-20,2.5,NA
2018-05-20,3,NA
2018-05-20,3.5,NA
2018-05-20,4,NA
2018-05-20,4.5,NA
2018-05-21,0.05,NA
2018-05-21,0.5,NA
2018-05-21,1,NA
2018-05-21,1.5,NA
2018-05-21,2,NA
2018-05-21,2.5,NA
2018-05-21,3,NA
2018-05-21,3.5,NA
2018-05-21,4,NA
2018-05-21,4.5,NA
2018-05-22,0.05,NA
2018-05-22,0.5,NA
2018-05-22,1,NA
2018-05-22,1.5,NA
2018-05-22,2,NA
2018-05-22,2.5,NA
2018-05-22,3,NA
2018-05-22,3.5,NA
2018-05-22,4,NA
2018-05-22,4.5,NA
2018-05-23,0.05,NA
2018-05-23,0.5,NA
2018-05-23,1,NA
2018-05-23,1.5,NA
2018-05-23,2,NA
2018-05-23,2.5,NA
2018-05-23,3,NA
2018-05-23,3.5,NA
2018-05-23,4,NA
2018-05-23,4.5,NA
2018-05-24,0.05,NA
2018-05-24,0.5,NA
2018-05-24,1,NA
2018-05-24,1.5,NA
2018-05-24,2,NA
2018-05-24,2.5,NA
2018-05-24,3,NA
2018-05-24,3.5,NA
2018-05-24,4,NA
2018-05-24,4.5,NA
2018-05-25,0.05,NA
2018-05-25,0.5,NA
2018-05-25,1,NA
2018-05-25,1.5,NA
2018-05-25,2,NA
2018-05-25,2.5,NA
2018-05-25,3,NA
2018-05-25,3.5,NA
2018-05-25,4,NA
2018-05-25,4.5,NA
2018-05-26,0.05,NA
2018-05-26,0.5,NA
2018-05-26,1,NA
2018-05-26,1.5,NA
2018-05-26,2,NA
2018-05-26,2.5,NA
2018-05-26,3,NA
2018-05-26,3.5,NA
2018-05-26,4,NA
2018-05-26,4.5,NA
2018-05-27,0.05,NA
2018-05-27,0.5,NA
2018-05-27,1,NA
2018-05-27,1.5,NA
2018-05-27,2,NA
2018-05-27,2.5,NA
2018-05-27,3,NA
2018-05-27,3.5,NA
2018-05-27,4,NA
2018-05-27,4.5,NA
2018-05-28,0.05,NA
2018-05-28,0.5,NA
2018-05-28,1,NA
2018-05-28,1.5,NA
2018-05-28,2,NA
2018-05-28,2.5,NA
2018-05-28,3,NA
2018-05-28,3.5,NA
2018-05-28,4,NA
2018-05-28,4.5,NA
2018-05-29,0.05,NA
2018-05-29,0.5,NA
2018-05-29,1,NA
2018-05-29,1.5,NA
2018-05-29,2,NA
2018-05-29,2.5,NA
2018-05-29,3,NA
2018-05-29,3.5,NA
2018-05-29,4,NA
2018-05-29,4.5,NA
2018-05-30,0.05,NA
2018-05-30,0.5,NA
2018-05-30,1,NA
2018-05-30,1.5,NA
2018-05-30,2,NA
2018-05-30,2.5,NA
2018-05-30,3,NA
2018-05-30,3.5,NA
2018-05-30,4,NA
2018-05-30,4.5,NA
2018-05-31,0.05,NA
2018-05-31,0.5,NA
2018-05-31,1,NA
2018-05-31,1.5,NA
2018-05-31,2,NA
2018-05-31,2.5,NA
2018-05-31,3,NA
2018-05-31,3.5,NA
2018-05-31,4,NA
2018-05-31,4.5,NA
2018-06-01,0.05,NA
2018-06-01,0.5,NA
2018-06-01,1,NA
2018-06-01,1.5,NA
2018-06-01,2,NA
2018-06-01,2.5,NA
2018-06-01,3,NA
2018-06-01,3.5,NA
2018-06-01,4,NA
2018-06-01,4.5,NA
2018-06-02,0.05,NA
2018-06-02,0.5,NA
2018-06-02,1,NA
2018-06-02,1.5,NA
2018-06-02,2,NA
2018-06-02,2.5,NA
2018-06-02,3,NA
2018-06-02,3.5,NA
2018-06-02,4,NA
2018-06-02,4.5,NA
2018-06-03,0.05,NA
2018-06-03,0.5,NA
2018-06-03,1,NA
2018-06-03,1.5,NA
2018-06-03,2,NA
2018-06-03,2.5,NA
2018-06-03,3,NA
2018-06-03,3.5,NA
2018-06-03,4,NA
2018-06-03,4.5,NA
2018-06-04,0.05,NA
2018-06-04,0.5,NA
2018-06-04,1,NA
2018-06-04,1.5,NA
2018-06-04,2,NA
2018-06-04,2.5,NA
2018-06-04,3,NA
2018-06-04,3.5,NA
2018-06-04,4,NA
2018-06-04,4.5,NA
2018-06-05,0.05,NA
2018-06-05,0.5,NA
2018-06-05,1,NA
2018-06-05,1.5,NA
2018-06-05,2,NA
2018-06-05,2.5,NA
2018-06-05,3,NA
2018-06-05,3.5,NA
2018-06-05,4,NA
2018-06-05,4.5,NA
2018-06-06,0.05,NA
2018-06-06,0.5,NA
2018-06-06,1,NA
2018-06-06,1.5,NA
2018-06-06,2,NA
2018-06-06,2.5,NA
2018-06-06,3,NA
2018-06-06,3.5,NA
2018-06-06,4,NA
2018-06-06,4.5,NA
2018-06-07,0.05,NA
2018-06-07,0.5,NA
2018-06-07,1,NA
2018-06-07,1.5,NA
2018-06-07,2,NA
2018-06-07,2.5,NA
2018-06-07,3,NA
2018-06-07,3.5,NA
2018-06-07,4,NA
2018-06-07,4.5,NA
2018-06-08,0.05,NA
2018-06-08,0.5,NA
2018-06-08,1,NA
2018-06-08,1.5,NA
2018-06-08,2,NA
2018-06-08,2.5,NA
2018-06-08,3,NA
2018-06-08,3.5,NA
2018-06-08,4,NA
2018-06-08,4.5,NA
2018-06-09,0.05,NA
2018-06-09,0.5,NA
2018-06-09,1,NA
2018-06-09,1.5,NA
2018-06-09,2,NA
2018-06-09,2.5,NA
2018-06-09,3,NA
2018-06-09,3.5,NA
2018-06-09,4,NA
2018-06-09,4.5,NA
2018-06-10,0.05,NA
2018-06-10,0.5,NA
2018-06-10,1,NA
2018-06-10,1.5,NA
2018-06-10,2,NA
2018-06-10,2.5,NA
2018-06-10,3,NA
2018-06-10,3.5,NA
2018-06-10,4,NA
2018-06-10,4.5,NA
2018-06-11,0.05,NA
2018-06-11,0.5,NA
2018-06-11,1,NA
2018-06-11,1.5,NA
2018-06-11,2,NA
2018-06-11,2.5,NA
2018-06-11,3,NA
2018-06-11,3.5,NA
2018-06-11,4,NA
2018-06-11,4.5,NA
2018-06-12,0.05,NA
2018-06-12,0.5,NA
2018-06-12,1,NA
2018-06-12,1.5,NA
2018-06-12,2,NA
2018-06-12,2.5,NA
2018-06-12,3,NA
2018-06-12,3.5,NA
2018-06-12,4,NA
2018-06-12,4.5,NA
2018-06-13,0.05,NA
2018-06-13,0.5,NA
2018-06-13,1,NA
2018-06-13,1.5,NA
2018-06-13,2,NA
2018-06-13,2.5,NA
2018-06-13,3,NA
2018-06-13,3.5,NA
2018-06-13,4,NA
2018-06-13,4.5,NA
2018-06-14,0.05,NA
2018-06-14,0.5,NA
2018-06-14,1,NA
2018-06-14,1.5,NA
2018-06-14,2,NA
2018-06-14,2.5,NA
2018-06-14,3,NA
2018-06-14,3.5,NA
2018-06-14,4,NA
2018-06-14,4.5,NA
2018-06-15,0.05,NA
2018-06-15,0.5,NA
2018-06-15,1,NA
2018-06-15,1.5,NA
2018-06-15,2,NA
2018-06-15,2.5,NA
2018-06-15,3,NA
2018-06-15,3.5,NA
2018-06-15,4,NA
2018-06-15,4.5,NA
2018-06-16,0.05,NA
2018-06-16,0.5,NA
2018-06-16,1,NA
2018-06-16,1.5,NA
2018-06-16,2,NA
2018-06-16,2.5,NA
2018-06-16,3,NA
2018-06-16,3.5,NA
2018-06-16,4,NA
2018-06-16,4.5,NA
2018-06-17,0.05,NA
2018-06-17,0.5,NA
2018-06-17,1,NA
2018-06-17,1.5,NA
2018-06-17,2,NA
2018-06-17,2.5,NA
2018-06-17,3,NA
2018-06-17,3.5,NA
2018-06-17,4,NA
2018-06-17,4.5,NA
2018-06-18,0.05,NA
2018-06-18,0.5,NA
2018-06-18,1,NA
2018-06-18,1.5,NA
2018-06-18,2,NA
2018-06-18,2.5,NA
2018-06-18,3,NA
2018-06-18,3.5,NA
2018-06-18,4,NA
2018-06-18,4.5,NA
2018-06-19,0.05,NA
2018-06-19,0.5,NA
2018-06-19,1,NA
2018-06-19,1.5,NA
2018-06-19,2,NA
2018-06-19,2.5,NA
2018-06-19,3,NA
2018-06-19,3.5,NA
2018-06-19,4,NA
2018-06-19,4.5,NA
2018-06-20,0.05,NA
2018-06-20,0.5,NA
2018-06-20,1,NA
2018-06-20,1.5,NA
2018-06-20,2,NA
2018-06-20,2.5,NA
2018-06-20,3,NA
2018-06-20,3.5,NA
2018-06-20,4,NA
2018-06-20,4.5,NA
2018-06-21,0.05,NA
2018-06-21,0.5,NA
2018-06-21,1,NA
2018-06-21,1.5,NA
2018-06-21,2,NA
2018-06-21,2.5,NA
2018-06-21,3,NA
2018-06-21,3.5,NA
2018-06-21,4,NA
2018-06-21,4.5,NA
2018-06-22,0.05,NA
2018-06-22,0.5,NA
2018-06-22,1,NA
2018-06-22,1.5,NA
2018-06-22,2,NA
2018-06-22,2.5,NA
2018-06-22,3,NA
2018-06-22,3.5,NA
2018-06-22,4,NA
2018-06-22,4.5,NA
2018-06-23,0.05,NA
2018-06-23,0.5,NA
2018-06-23,1,NA
2018-06-23,1.5,NA
2018-06-23,2,NA
2018-06-23,2.5,NA
2018-06-23,3,NA
2018-06-23,3.5,NA
2018-06-23,4,NA
2018-06-23,4.5,NA
