collectDate,value
2014-05-14,0.1134
2014-06-19,0.0368
2016-10-19,0.074
2016-11-16,0.478
2016-12-19,0.833
2017-01-18,1.482
2017-02-13,1.779
2017-03-22,0.716
2017-04-12,0.285
2017-05-03,0.031
2017-06-08,0.177
2017-07-06,0.047
2017-07-06,0.059
2017-07-06,0.046
2017-08-03,0.0723
2017-09-06,0.084
2017-10-19,0.1188
2017-11-01,0.1757
2018-01-04,0.9982
2018-02-13,0.6905
2018-03-13,0.1638
2018-04-17,0.5091
2018-05-01,0.4195
2018-06-05,0.0053
2018-06-20,0.0353
2018-07-05,0.3971
2018-08-07,0.013
2018-09-04,0.0186
2018-10-16,0.2371
2018-10-30,0.185
2018-12-04,1.248
2019-01-10,2.5772
2019-02-11,3.7486
2019-03-26,3.2607
2019-04-23,1.446
2019-05-07,0.1175
2019-06-04,0.0336
2019-07-01,1.3014
2019-07-01,1.3337
2019-07-01,1.2707
2019-08-06,2.8526
2019-09-04,1.1862
2019-09-04,1.1427
2019-09-04,1.1224
2019-10-16,0.4031
