collectDate,value
2014-05-14,2.75
2014-06-19,3.02
2016-10-19,5.888
2016-11-16,5.015
2016-12-19,5.268
2017-01-18,5.58
2017-02-13,5.966
2017-03-22,2.744
2017-04-12,4.788
2017-05-03,3.593
2017-06-08,3.63
2017-07-06,4.113
2017-07-06,4.227
2017-07-06,4.066
2017-08-03,5.127
2017-09-06,5.044
2017-10-19,3.983
2017-11-01,3.944
2018-01-04,NA
2018-02-13,6.999
2018-03-13,8.122
2018-04-17,7.271
2018-05-01,5.174
2018-06-05,4.512
2018-06-20,4.825
2018-07-05,5.191
2018-08-07,6.119
2018-09-04,5.279
2018-10-16,5.366
2018-10-30,7.397
2018-12-04,7.809
2019-01-10,8.61
2019-02-11,9.891
2019-03-26,6.712
2019-04-23,4.953
2019-05-07,3.798
2019-06-04,3.803
2019-07-01,4.798
2019-07-01,4.664
2019-07-01,4.861
2019-08-06,5.07
2019-09-04,3.918
2019-09-04,3.902
2019-09-04,3.8
2019-10-16,2.664
