date,secchiMeanDepth
2020-10-01 13:45:00,0.2
2020-09-02 13:10:00,0.2
2020-09-29 13:22:00,0.2
2020-08-04 14:55:00,0.3
2020-07-07 13:37:00,0.6
2020-06-09 15:17:00,1.5
2020-06-15 15:56:00,2
2020-06-30 15:10:00,1
2020-03-10 15:54:00,NA
2020-02-11 15:16:00,NA
2018-07-05 15:09:00,0.2
2018-07-09 17:06:00,0.2
2018-07-11 16:56:00,0.2
2018-08-07 15:57:00,0.1
2019-08-06 15:30:00,0.8
2019-09-04 15:35:00,2
2019-09-09 16:02:00,1.7
2019-09-10 15:56:00,2.8
2017-01-18 18:00:00,NA
2019-12-04 17:24:00,NA
2015-09-02 17:00:00,0.1
2015-09-22 17:00:00,0.2
2015-06-03 17:00:00,0.6
2017-09-06 14:05:00,0.1
2017-09-11 15:19:00,0.1
2017-09-12 15:54:00,0.1
2017-09-13 16:01:00,0.1
2019-02-11 17:47:00,NA
2018-02-13 16:45:00,NA
2018-10-16 15:43:00,0.2
2018-10-30 15:54:00,0.1
2018-04-17 15:51:00,NA
2017-11-01 15:06:00,0.2
2017-02-13 18:00:00,NA
2018-05-01 15:46:00,0.5
2018-05-08 14:34:00,0.3
2018-05-09 17:05:00,0.3
2018-05-11 15:38:00,0.3
2016-12-19 18:00:00,NA
2014-05-14 17:00:00,1.3
2014-05-15 17:00:00,1.3
2019-01-10 16:55:00,NA
2014-12-10 18:00:00,NA
2015-11-04 18:00:00,0.3
2016-02-03 18:00:00,NA
2017-07-06 14:50:00,0.2
2017-07-10 15:15:00,0.2
2017-07-11 13:36:00,NA
2017-07-13 16:18:00,0.3
2016-07-18 17:00:00,0.2
2015-05-04 17:00:00,0.9
2014-06-19 17:00:00,0.6
2019-10-16 16:52:00,2.1
2019-04-22 20:15:00,0.5
2019-04-23 15:40:00,0.6
2019-04-24 14:35:00,0.5
2019-04-26 14:46:00,0.5
2015-03-02 18:00:00,NA
2017-08-03 14:28:00,0.2
2019-06-04 15:02:00,0.5
2019-03-26 15:50:00,NA
2017-03-22 17:00:00,NA
2016-10-19 17:00:00,0.1
2014-11-06 18:00:00,0.5
2014-07-09 17:00:00,0.4
2014-07-16 17:00:00,0.5
2015-08-03 17:00:00,0.1
2018-03-13 15:55:00,NA
2018-03-27 17:28:00,NA
2016-04-21 17:00:00,0.5
2015-10-22 17:00:00,0.2
2014-09-25 17:00:00,0.3
2016-03-02 18:00:00,NA
2016-03-22 17:00:00,0.3
2018-09-04 15:38:00,0.2
2018-09-10 17:00:00,0.1
2018-09-11 17:04:00,0.1
2018-09-13 17:28:00,0.1
2019-07-01 14:35:00,2.7
2019-07-08 14:45:00,2.3
2019-07-11 14:04:00,2.3
2019-07-18 15:36:00,1.5
2016-09-14 17:00:00,0.1
2018-12-04 16:33:00,NA
2015-02-09 18:00:00,NA
2017-10-19 14:42:00,0.1
2017-05-03 14:20:00,0.5
2017-06-08 14:30:00,0.4
2014-08-13 17:00:00,0.4
2018-01-04 17:00:00,NA
2016-01-07 18:00:00,NA
2014-10-10 17:00:00,0.4
2019-05-07 15:51:00,0.3
2018-06-05 15:26:00,0.3
2018-06-20 15:30:00,0.2
2020-01-09 15:03:00,NA
2016-05-02 17:00:00,0.5
2017-04-12 15:15:00,0.4
2017-04-17 16:00:00,0.4
2017-04-19 13:42:00,0.4
2015-04-14 17:00:00,0.4
2015-07-08 17:00:00,0.2
2015-07-20 17:00:00,0.2
