Date,thermistorDepth,V1
2018-05-03,0.05,NA
2018-05-03,0.3,NA
2018-05-03,0.55,NA
2018-05-03,0.8,NA
2018-05-03,1.05,NA
2018-05-03,1.3,NA
2018-05-03,1.55,NA
2018-05-03,1.8,NA
2018-05-03,2.05,NA
2018-05-04,0.05,NA
2018-05-04,0.3,NA
2018-05-04,0.55,NA
2018-05-04,0.8,NA
2018-05-04,1.05,NA
2018-05-04,1.3,NA
2018-05-04,1.55,NA
2018-05-04,1.8,NA
2018-05-04,2.05,NA
2018-05-05,0.05,NA
2018-05-05,0.3,NA
2018-05-05,0.55,NA
2018-05-05,0.8,NA
2018-05-05,1.05,NA
2018-05-05,1.3,NA
2018-05-05,1.55,NA
2018-05-05,1.8,NA
2018-05-05,2.05,NA
2018-05-06,0.05,NA
2018-05-06,0.3,NA
2018-05-06,0.55,NA
2018-05-06,0.8,NA
2018-05-06,1.05,NA
2018-05-06,1.3,NA
2018-05-06,1.55,NA
2018-05-06,1.8,NA
2018-05-06,2.05,NA
2018-05-07,0.05,NA
2018-05-07,0.3,NA
2018-05-07,0.55,NA
2018-05-07,0.8,NA
2018-05-07,1.05,NA
2018-05-07,1.3,NA
2018-05-07,1.55,NA
2018-05-07,1.8,NA
2018-05-07,2.05,NA
2018-05-08,0.05,NA
2018-05-08,0.3,NA
2018-05-08,0.55,NA
2018-05-08,0.8,NA
2018-05-08,1.05,NA
2018-05-08,1.3,NA
2018-05-08,1.55,NA
2018-05-08,1.8,NA
2018-05-08,2.05,NA
2018-05-09,0.05,NA
2018-05-09,0.3,NA
2018-05-09,0.55,NA
2018-05-09,0.8,NA
2018-05-09,1.05,NA
2018-05-09,1.3,NA
2018-05-09,1.55,NA
2018-05-09,1.8,NA
2018-05-09,2.05,NA
2018-05-10,0.05,NA
2018-05-10,0.3,NA
2018-05-10,0.55,NA
2018-05-10,0.8,NA
2018-05-10,1.05,NA
2018-05-10,1.3,NA
2018-05-10,1.55,NA
2018-05-10,1.8,NA
2018-05-10,2.05,NA
2018-05-11,0.05,NA
2018-05-11,0.3,NA
2018-05-11,0.55,NA
2018-05-11,0.8,NA
2018-05-11,1.05,NA
2018-05-11,1.3,NA
2018-05-11,1.55,NA
2018-05-11,1.8,NA
2018-05-11,2.05,NA
2018-05-12,0.05,NA
2018-05-12,0.3,NA
2018-05-12,0.55,NA
2018-05-12,0.8,NA
2018-05-12,1.05,NA
2018-05-12,1.3,NA
2018-05-12,1.55,NA
2018-05-12,1.8,NA
2018-05-12,2.05,NA
2018-05-13,0.05,NA
2018-05-13,0.3,NA
2018-05-13,0.55,NA
2018-05-13,0.8,NA
2018-05-13,1.05,NA
2018-05-13,1.3,NA
2018-05-13,1.55,NA
2018-05-13,1.8,NA
2018-05-13,2.05,NA
2018-05-14,0.05,NA
2018-05-14,0.3,NA
2018-05-14,0.55,NA
2018-05-14,0.8,NA
2018-05-14,1.05,NA
2018-05-14,1.3,NA
2018-05-14,1.55,NA
2018-05-14,1.8,NA
2018-05-14,2.05,NA
2018-05-15,0.05,NA
2018-05-15,0.3,NA
2018-05-15,0.55,NA
2018-05-15,0.8,NA
2018-05-15,1.05,NA
2018-05-15,1.3,NA
2018-05-15,1.55,NA
2018-05-15,1.8,NA
2018-05-15,2.05,NA
2018-05-16,0.05,NA
2018-05-16,0.3,NA
2018-05-16,0.55,NA
2018-05-16,0.8,NA
2018-05-16,1.05,NA
2018-05-16,1.3,NA
2018-05-16,1.55,NA
2018-05-16,1.8,NA
2018-05-16,2.05,NA
2018-05-17,0.05,NA
2018-05-17,0.3,NA
2018-05-17,0.55,NA
2018-05-17,0.8,NA
2018-05-17,1.05,NA
2018-05-17,1.3,NA
2018-05-17,1.55,NA
2018-05-17,1.8,NA
2018-05-17,2.05,NA
2018-05-18,0.05,NA
2018-05-18,0.3,NA
2018-05-18,0.55,NA
2018-05-18,0.8,NA
2018-05-18,1.05,NA
2018-05-18,1.3,NA
2018-05-18,1.55,NA
2018-05-18,1.8,NA
2018-05-18,2.05,NA
2018-05-19,0.05,NA
2018-05-19,0.3,NA
2018-05-19,0.55,NA
2018-05-19,0.8,NA
2018-05-19,1.05,NA
2018-05-19,1.3,NA
2018-05-19,1.55,NA
2018-05-19,1.8,NA
2018-05-19,2.05,NA
2018-05-20,0.05,NA
2018-05-20,0.3,NA
2018-05-20,0.55,NA
2018-05-20,0.8,NA
2018-05-20,1.05,NA
2018-05-20,1.3,NA
2018-05-20,1.55,NA
2018-05-20,1.8,NA
2018-05-20,2.05,NA
2018-05-21,0.05,NA
2018-05-21,0.3,NA
2018-05-21,0.55,NA
2018-05-21,0.8,NA
2018-05-21,1.05,NA
2018-05-21,1.3,NA
2018-05-21,1.55,NA
2018-05-21,1.8,NA
2018-05-21,2.05,NA
2018-05-22,0.05,NA
2018-05-22,0.3,NA
2018-05-22,0.55,NA
2018-05-22,0.8,NA
2018-05-22,1.05,NA
2018-05-22,1.3,NA
2018-05-22,1.55,NA
2018-05-22,1.8,NA
2018-05-22,2.05,NA
2018-05-23,0.05,NA
2018-05-23,0.3,NA
2018-05-23,0.55,NA
2018-05-23,0.8,NA
2018-05-23,1.05,NA
2018-05-23,1.3,NA
2018-05-23,1.55,NA
2018-05-23,1.8,NA
2018-05-23,2.05,NA
2018-05-24,0.05,NA
2018-05-24,0.3,NA
2018-05-24,0.55,NA
2018-05-24,0.8,NA
2018-05-24,1.05,NA
2018-05-24,1.3,NA
2018-05-24,1.55,NA
2018-05-24,1.8,NA
2018-05-24,2.05,NA
2018-05-25,0.05,NA
2018-05-25,0.3,NA
2018-05-25,0.55,NA
2018-05-25,0.8,NA
2018-05-25,1.05,NA
2018-05-25,1.3,NA
2018-05-25,1.55,NA
2018-05-25,1.8,NA
2018-05-25,2.05,NA
2018-05-26,0.05,NA
2018-05-26,0.3,NA
2018-05-26,0.55,NA
2018-05-26,0.8,NA
2018-05-26,1.05,NA
2018-05-26,1.3,NA
2018-05-26,1.55,NA
2018-05-26,1.8,NA
2018-05-26,2.05,NA
2018-05-27,0.05,NA
2018-05-27,0.3,NA
2018-05-27,0.55,NA
2018-05-27,0.8,NA
2018-05-27,1.05,NA
2018-05-27,1.3,NA
2018-05-27,1.55,NA
2018-05-27,1.8,NA
2018-05-27,2.05,NA
2018-05-28,0.05,NA
2018-05-28,0.3,NA
2018-05-28,0.55,NA
2018-05-28,0.8,NA
2018-05-28,1.05,NA
2018-05-28,1.3,NA
2018-05-28,1.55,NA
2018-05-28,1.8,NA
2018-05-28,2.05,NA
2018-05-29,0.05,NA
2018-05-29,0.3,NA
2018-05-29,0.55,NA
2018-05-29,0.8,NA
2018-05-29,1.05,NA
2018-05-29,1.3,NA
2018-05-29,1.55,NA
2018-05-29,1.8,NA
2018-05-29,2.05,NA
2018-05-30,0.05,NA
2018-05-30,0.3,NA
2018-05-30,0.55,NA
2018-05-30,0.8,NA
2018-05-30,1.05,NA
2018-05-30,1.3,NA
2018-05-30,1.55,NA
2018-05-30,1.8,NA
2018-05-30,2.05,NA
2018-05-31,0.05,5.23
2018-05-31,0.3,5.23
2018-05-31,0.55,5.23
2018-05-31,0.8,5.23
2018-05-31,1.05,5.23
2018-05-31,1.3,5.23
2018-05-31,1.55,5.23
2018-05-31,1.8,NA
2018-05-31,2.05,NA
2018-06-01,0.05,5.23
2018-06-01,0.3,5.23
2018-06-01,0.55,5.23
2018-06-01,0.8,5.23
2018-06-01,1.05,5.23
2018-06-01,1.3,5.23
2018-06-01,1.55,5.23
2018-06-01,1.8,NA
2018-06-01,2.05,NA
2018-06-02,0.05,5.23
2018-06-02,0.3,5.23
2018-06-02,0.55,5.23
2018-06-02,0.8,5.23
2018-06-02,1.05,5.23
2018-06-02,1.3,5.23
2018-06-02,1.55,5.23
2018-06-02,1.8,NA
2018-06-02,2.05,NA
2018-06-03,0.05,5.23
2018-06-03,0.3,5.23
2018-06-03,0.55,5.23
2018-06-03,0.8,5.23
2018-06-03,1.05,5.23
2018-06-03,1.3,5.23
2018-06-03,1.55,5.23
2018-06-03,1.8,NA
2018-06-03,2.05,NA
2018-06-04,0.05,5.23
2018-06-04,0.3,5.23
2018-06-04,0.55,5.23
2018-06-04,0.8,5.23
2018-06-04,1.05,5.23
2018-06-04,1.3,5.23
2018-06-04,1.55,5.23
2018-06-04,1.8,NA
2018-06-04,2.05,NA
2018-06-05,0.05,5.23
2018-06-05,0.3,5.23
2018-06-05,0.55,5.23
2018-06-05,0.8,5.23
2018-06-05,1.05,5.23
2018-06-05,1.3,5.23
2018-06-05,1.55,5.23
2018-06-05,1.8,NA
2018-06-05,2.05,NA
2018-06-06,0.05,5.23
2018-06-06,0.3,5.23
2018-06-06,0.55,5.23
2018-06-06,0.8,5.23
2018-06-06,1.05,5.23
2018-06-06,1.3,5.23
2018-06-06,1.55,5.23
2018-06-06,1.8,NA
2018-06-06,2.05,NA
2018-06-07,0.05,5.23
2018-06-07,0.3,5.23
2018-06-07,0.55,5.23
2018-06-07,0.8,5.23
2018-06-07,1.05,5.23
2018-06-07,1.3,5.23
2018-06-07,1.55,5.23
2018-06-07,1.8,NA
2018-06-07,2.05,NA
2018-06-08,0.05,5.23
2018-06-08,0.3,5.23
2018-06-08,0.55,5.23
2018-06-08,0.8,5.23
2018-06-08,1.05,5.23
2018-06-08,1.3,5.23
2018-06-08,1.55,5.23
2018-06-08,1.8,NA
2018-06-08,2.05,NA
2018-06-09,0.05,5.23
2018-06-09,0.3,5.23
2018-06-09,0.55,5.23
2018-06-09,0.8,5.23
2018-06-09,1.05,5.23
2018-06-09,1.3,5.23
2018-06-09,1.55,5.23
2018-06-09,1.8,NA
2018-06-09,2.05,NA
2018-06-10,0.05,5.23
2018-06-10,0.3,5.23
2018-06-10,0.55,5.23
2018-06-10,0.8,5.23
2018-06-10,1.05,5.23
2018-06-10,1.3,5.23
2018-06-10,1.55,5.23
2018-06-10,1.8,NA
2018-06-10,2.05,NA
2018-06-11,0.05,5.23
2018-06-11,0.3,5.23
2018-06-11,0.55,5.23
2018-06-11,0.8,5.23
2018-06-11,1.05,5.23
2018-06-11,1.3,5.23
2018-06-11,1.55,5.23
2018-06-11,1.8,NA
2018-06-11,2.05,NA
2018-06-12,0.05,5.23
2018-06-12,0.3,5.23
2018-06-12,0.55,5.23
2018-06-12,0.8,5.23
2018-06-12,1.05,5.23
2018-06-12,1.3,5.23
2018-06-12,1.55,5.23
2018-06-12,1.8,NA
2018-06-12,2.05,NA
2018-06-13,0.05,5.23
2018-06-13,0.3,5.23
2018-06-13,0.55,5.23
2018-06-13,0.8,5.23
2018-06-13,1.05,5.23
2018-06-13,1.3,5.23
