collectDate,value
2014-05-13,0.151
2014-06-17,0.162
2016-10-18,0.053
2016-11-15,0.297
2016-12-21,0.682
2017-01-17,1.146
2017-02-14,1.318
2017-03-21,1.289
2017-04-11,0.694
2017-05-02,0.047
2017-06-06,0.099
2017-07-05,0.11
2017-07-05,0.108
2017-07-05,0.084
2017-08-02,0.1735
2017-09-05,0.0393
2017-10-17,0.1356
2017-10-31,0.1979
2018-01-02,NA
2018-02-13,0.3684
2018-03-13,0.1622
2018-04-17,0.5028
2018-05-01,0.3607
2018-06-05,0.0053
2018-06-20,0.0207
2018-07-05,0.0018
2018-08-07,0.0279
2018-09-04,0.0301
2018-10-16,0.316
2018-10-30,0.1756
2018-12-04,0.267
2019-01-10,0.4567
2019-02-11,0.6914
2019-03-26,1.2079
2019-04-23,0.0796
2019-05-07,0.0846
2019-06-04,0.0403
2019-07-01,2.1877
2019-07-01,2.4359
2019-07-01,2.2846
2019-08-06,0.1302
2019-09-04,0.0513
2019-09-04,0.079
2019-09-04,0.0429
2019-10-16,0.0735
