collectDate,value
2014-05-13,2.81
2014-06-17,3.11
2016-10-18,2.433
2016-11-15,3.238
2016-12-21,4.308
2017-01-17,5.125
2017-02-14,5.129
2017-03-21,4.504
2017-04-11,3.481
2017-05-02,2.869
2017-06-06,3.261
2017-07-05,2.741
2017-07-05,2.748
2017-07-05,2.754
2017-08-02,3.285
2017-09-05,3.284
2017-10-17,3.04
2017-10-31,4.078
2018-01-02,4.666
2018-02-13,5.415
2018-03-13,5.684
2018-04-17,5.225
2018-05-01,3.237
2018-06-05,2.877
2018-06-20,2.825
2018-07-05,3.098
2018-08-07,3.064
2018-09-04,3.435
2018-10-16,3.774
2018-10-30,3.41
2018-12-04,3.919
2019-01-10,4.573
2019-02-11,5.819
2019-03-26,9.866
2019-04-23,1.389
2019-05-07,2.545
2019-06-04,2.764
2019-07-01,5.03
2019-07-01,4.966
2019-07-01,4.853
2019-08-06,2.884
2019-09-04,3.091
2019-09-04,2.999
2019-09-04,2.93
2019-10-16,2.571
