collectDate,dissolvedOxygen
2020-09-01 13:32:00,6.95
2020-06-09 13:47:00,5.54
2020-06-30 13:47:00,7.75
2020-08-04 13:57:00,7.18
2020-05-05 13:30:00,NA
2020-04-07 13:30:00,NA
2020-03-10 14:50:00,0.21
2020-02-04 15:30:00,0.19
2020-01-07 17:51:00,NA
2019-12-03 16:35:00,4.6
2019-11-05 14:00:00,NA
2019-10-16 14:32:00,11.15
2017-01-17 16:40:00,2.62
2016-07-06 14:00:00,6.7
2016-07-06 14:40:00,7.66
2016-07-06 15:13:00,8.47
2018-05-01 14:20:00,8.9
2017-06-06 14:00:00,6.4
2017-06-06 14:35:00,7.09
2017-06-06 15:00:00,6.39
2019-04-23 14:25:00,10.85
2018-04-17 15:05:00,2.88
2017-05-02 13:45:00,13.33
2017-05-02 14:10:00,13.97
2017-05-02 14:35:00,14.57
2016-06-07 14:20:00,5.57
2016-06-07 14:55:00,4.91
2016-06-07 15:25:00,5.51
2019-03-26 14:48:00,0.33
2017-02-14 17:00:00,1.05
2018-01-02 17:20:00,7.79
2018-06-05 14:05:00,7.61
2018-06-20 14:14:00,8.1
2016-08-02 14:03:00,7.21
2016-08-02 14:35:00,5.9
2016-08-02 15:01:00,8.26
2017-04-11 14:10:00,9.94
2017-04-11 14:50:00,9.94
2017-04-11 15:20:00,11.14
2017-07-05 14:05:00,8.6
2017-07-05 14:40:00,8.38
2017-07-05 14:55:00,5.09
2018-03-13 14:55:00,7.72
2019-05-07 14:40:00,12.9
2019-02-11 16:35:00,14.69
2018-02-13 15:50:00,11.91
2017-03-21 14:45:00,4.94
2019-01-10 16:05:00,16.66
2018-07-05 13:55:00,6.88
2019-06-04 13:39:00,7.08
2018-10-16 14:00:00,11.37
2018-10-30 14:55:00,10.64
2018-08-07 13:46:00,7.13
2016-09-06 15:05:00,6.53
2016-09-06 15:30:00,6.57
2016-09-06 15:45:00,7.53
2019-09-04 13:55:00,7.75
2017-09-05 13:45:00,6.54
2017-09-05 14:05:00,6.88
2017-09-05 14:27:00,6.81
2019-07-01 13:26:00,1.66
2017-08-02 13:55:00,4.81
2017-08-02 14:24:00,3.86
2017-08-02 14:50:00,4.97
2016-12-21 17:00:00,8.35
2016-11-15 16:00:00,11.71
2016-11-15 16:20:00,11.16
2016-11-15 16:35:00,11.11
2018-12-04 15:45:00,13.67
2016-10-18 14:55:00,8.66
2016-10-18 15:15:00,8.73
2016-10-18 15:50:00,9.23
2019-08-06 14:15:00,9.62
2017-10-17 13:45:00,9.13
2017-10-17 14:15:00,9.12
2017-10-17 14:49:00,9.73
2017-10-31 14:55:00,13.76
2017-10-31 15:24:00,12.91
2017-10-31 15:46:00,13.73
2018-09-04 14:30:00,6.88
