Date,V1
2018-07-17,NA
2018-07-18,NA
2018-07-19,NA
2018-07-20,NA
2018-07-21,NA
2018-07-22,NA
2018-07-23,NA
2018-07-24,NA
2018-07-25,NA
2018-07-26,NA
2018-07-27,NA
2018-07-28,NA
2018-07-29,NA
2018-07-30,NA
2018-07-31,NA
2018-08-01,NA
2018-08-02,NA
2018-08-03,NA
2018-08-04,NA
2018-08-05,NA
2018-08-06,NA
2018-08-07,NA
2018-08-08,NA
2018-08-09,NA
2018-08-10,NA
2018-08-11,NA
2018-08-12,NA
2018-08-13,NA
2018-08-14,NA
2018-08-15,NA
2018-08-16,NA
2018-08-17,NA
2018-08-18,NA
2018-08-19,NA
2018-08-20,NA
2018-08-21,NA
2018-08-22,NA
2018-08-23,NA
2018-08-24,NA
2018-08-25,NA
2018-08-26,NA
2018-08-27,NA
2018-08-28,NA
2018-08-29,NA
2018-08-30,NA
2018-08-31,NA
2018-09-01,NA
2018-09-02,NA
2018-09-03,NA
2018-09-04,NA
2018-09-05,NA
2018-09-06,NA
2018-09-07,NA
2018-09-08,NA
2018-09-09,NA
2018-09-10,NA
2018-09-11,NA
2018-09-12,NA
2018-09-13,NA
2018-09-14,NA
2018-09-15,NA
2018-09-16,NA
2018-09-17,NA
2018-09-18,NA
2018-09-19,NA
2018-09-20,NA
2018-09-21,NA
2018-09-22,NA
2018-09-23,NA
2018-09-24,NA
2018-09-25,NA
2018-09-26,NA
2018-09-27,NA
2018-09-28,NA
2018-09-29,NA
2018-09-30,NA
2018-10-01,NA
2018-10-02,NA
2018-10-03,NA
2018-10-04,NA
2018-10-05,NA
2018-10-06,NA
2018-10-07,NA
2018-10-08,NA
2018-10-09,NA
2019-05-01,NA
2019-05-02,NA
2019-05-03,NA
2019-05-04,NA
2019-05-05,NA
2019-05-06,NA
2019-05-07,NA
2019-05-08,NA
2019-05-09,NA
2019-05-10,NA
2019-05-11,NA
2019-05-12,NA
2019-05-13,NA
2019-05-14,NA
2019-05-15,NA
2019-05-16,NA
2019-05-17,NA
2019-05-18,NA
2019-05-19,NA
2019-05-20,NA
2019-05-21,NA
2019-05-22,NA
2019-05-23,NA
2019-05-24,NA
2019-05-25,NA
2019-05-26,NA
2019-05-27,NA
2019-05-28,NA
2019-05-29,NA
2019-05-30,NA
2019-05-31,NA
2019-06-01,NA
2019-06-02,NA
2019-06-03,NA
2019-06-04,NA
2019-06-05,NA
2019-06-06,NA
2019-06-07,NA
2019-06-08,NA
2019-06-09,NA
2019-06-10,NA
2019-06-11,NA
2019-06-12,34.925
2019-06-13,35.1072916666667
2019-06-14,35.4410526315789
2019-06-15,35.55
2019-06-16,35.1967741935484
2019-06-17,35.1634408602151
2019-06-18,34.9073684210526
2019-06-19,34.6483870967742
2019-06-20,34.4810526315789
2019-06-21,34.2875
2019-06-22,33.9736842105263
2019-06-23,33.8663157894737
2019-06-24,33.8326315789474
2019-06-25,33.5484210526316
2019-06-26,33.4936170212766
2019-06-27,33.2817204301075
2019-06-28,33.01875
2019-06-29,32.7168421052632
2019-06-30,32.2610526315789
2019-07-01,31.9297872340426
2019-07-02,31.8292682926829
2019-07-03,32.0308510638298
2019-07-04,31.9739130434783
2019-07-05,32.1670212765957
2019-07-06,32.5315789473684
2019-07-07,32.9630434782609
2019-07-08,33.9677083333333
2019-07-09,34.318085106383
2019-07-10,33.6189473684211
2019-07-11,33.4936170212766
2019-07-12,33.3094736842105
2019-07-13,34.0817204301075
2019-07-14,34.8166666666667
2019-07-15,34.5628571428571
2019-07-16,34.1636363636364
2019-07-17,33.9133333333333
2019-07-18,33.975
2019-07-19,33.68
2019-07-20,33.6214285714286
2019-07-21,33.6555555555556
2019-07-22,33.275
2019-07-23,34.5454545454545
2019-07-24,34.4
2019-07-25,34.2166666666667
2019-07-26,35.5142857142857
2019-07-27,36.6125
2019-07-28,37.7888888888889
2019-07-29,36.8714285714286
2019-07-30,38.5
2019-07-31,NA
2019-08-01,NA
2019-08-02,NA
2019-08-03,NA
2019-08-04,NA
2019-08-05,NA
2019-08-06,NA
2019-08-07,NA
2019-08-08,NA
2019-08-09,NA
2019-08-10,NA
2019-08-11,NA
2019-08-12,NA
2019-08-13,NA
2019-08-14,NA
2019-08-15,NA
2019-08-16,NA
2019-08-17,NA
2019-08-18,NA
2019-08-19,NA
2019-08-20,NA
2019-08-21,NA
2019-08-22,NA
2019-08-23,NA
2019-08-24,NA
2019-08-25,NA
2019-08-26,NA
2019-08-27,NA
2019-08-28,NA
2019-08-29,NA
2019-08-30,NA
2019-08-31,NA
2019-09-01,NA
2019-09-02,NA
2019-09-03,NA
2019-09-04,NA
2019-09-05,NA
2019-09-06,NA
2019-09-07,NA
2019-09-08,NA
2019-09-09,NA
2019-09-10,NA
2019-09-11,NA
2019-09-12,NA
2019-09-13,NA
2019-09-14,NA
2019-09-15,NA
2019-09-16,NA
2019-09-17,NA
2019-09-18,NA
2019-09-19,NA
2019-09-20,NA
2019-09-21,NA
2019-09-22,NA
2019-09-23,NA
2019-09-24,NA
2019-09-25,NA
2019-09-26,NA
2019-09-27,NA
2019-09-28,NA
2019-09-29,NA
2019-09-30,NA
2019-10-01,NA
2019-10-02,NA
2019-10-03,NA
2019-10-04,NA
2019-10-05,NA
2019-10-06,NA
