Date,thermistorDepth,V1
2018-05-01,0.05,NA
2018-05-01,0.3,NA
2018-05-01,0.55,NA
2018-05-01,0.8,NA
2018-05-01,1.05,NA
2018-05-02,0.05,NA
2018-05-02,0.3,NA
2018-05-02,0.55,NA
2018-05-02,0.8,NA
2018-05-02,1.05,NA
2018-05-03,0.05,NA
2018-05-03,0.3,NA
2018-05-03,0.55,NA
2018-05-03,0.8,NA
2018-05-03,1.05,NA
2018-05-04,0.05,NA
2018-05-04,0.3,NA
2018-05-04,0.55,NA
2018-05-04,0.8,NA
2018-05-04,1.05,NA
2018-05-05,0.05,NA
2018-05-05,0.3,NA
2018-05-05,0.55,NA
2018-05-05,0.8,NA
2018-05-05,1.05,NA
2018-05-06,0.05,NA
2018-05-06,0.3,NA
2018-05-06,0.55,NA
2018-05-06,0.8,NA
2018-05-06,1.05,NA
2018-05-07,0.05,NA
2018-05-07,0.3,NA
2018-05-07,0.55,NA
2018-05-07,0.8,NA
2018-05-07,1.05,NA
2018-05-08,0.05,NA
2018-05-08,0.3,NA
2018-05-08,0.55,NA
2018-05-08,0.8,NA
2018-05-08,1.05,NA
2018-05-09,0.05,NA
2018-05-09,0.3,NA
2018-05-09,0.55,NA
2018-05-09,0.8,NA
2018-05-09,1.05,NA
2018-05-10,0.05,NA
2018-05-10,0.3,NA
2018-05-10,0.55,NA
2018-05-10,0.8,NA
2018-05-10,1.05,NA
2018-05-11,0.05,NA
2018-05-11,0.3,NA
2018-05-11,0.55,NA
2018-05-11,0.8,NA
2018-05-11,1.05,NA
2018-05-12,0.05,NA
2018-05-12,0.3,NA
2018-05-12,0.55,NA
2018-05-12,0.8,NA
2018-05-12,1.05,NA
2018-05-13,0.05,NA
2018-05-13,0.3,NA
2018-05-13,0.55,NA
2018-05-13,0.8,NA
2018-05-13,1.05,NA
2018-05-14,0.05,NA
2018-05-14,0.3,NA
2018-05-14,0.55,NA
2018-05-14,0.8,NA
2018-05-14,1.05,NA
2018-05-15,0.05,NA
2018-05-15,0.3,NA
2018-05-15,0.55,NA
2018-05-15,0.8,NA
2018-05-15,1.05,NA
2018-05-16,0.05,NA
2018-05-16,0.3,NA
2018-05-16,0.55,NA
2018-05-16,0.8,NA
2018-05-16,1.05,NA
2018-05-17,0.05,NA
2018-05-17,0.3,NA
2018-05-17,0.55,NA
2018-05-17,0.8,NA
2018-05-17,1.05,NA
2018-05-18,0.05,NA
2018-05-18,0.3,NA
2018-05-18,0.55,NA
2018-05-18,0.8,NA
2018-05-18,1.05,NA
2018-05-19,0.05,NA
2018-05-19,0.3,NA
2018-05-19,0.55,NA
2018-05-19,0.8,NA
2018-05-19,1.05,NA
2018-05-20,0.05,NA
2018-05-20,0.3,NA
2018-05-20,0.55,NA
2018-05-20,0.8,NA
2018-05-20,1.05,NA
2018-05-21,0.05,NA
2018-05-21,0.3,NA
2018-05-21,0.55,NA
2018-05-21,0.8,NA
2018-05-21,1.05,NA
2018-05-22,0.05,NA
2018-05-22,0.3,NA
2018-05-22,0.55,NA
2018-05-22,0.8,NA
2018-05-22,1.05,NA
2018-05-23,0.05,NA
2018-05-23,0.3,NA
2018-05-23,0.55,NA
2018-05-23,0.8,NA
2018-05-23,1.05,NA
2018-05-24,0.05,NA
2018-05-24,0.3,NA
2018-05-24,0.55,NA
2018-05-24,0.8,NA
2018-05-24,1.05,NA
2018-05-25,0.05,NA
2018-05-25,0.3,NA
2018-05-25,0.55,NA
2018-05-25,0.8,NA
2018-05-25,1.05,NA
2018-05-26,0.05,NA
2018-05-26,0.3,NA
2018-05-26,0.55,NA
2018-05-26,0.8,NA
2018-05-26,1.05,NA
2018-05-27,0.05,NA
2018-05-27,0.3,NA
2018-05-27,0.55,NA
2018-05-27,0.8,NA
2018-05-27,1.05,NA
2018-05-28,0.05,NA
2018-05-28,0.3,NA
2018-05-28,0.55,NA
2018-05-28,0.8,NA
2018-05-28,1.05,NA
2018-05-29,0.05,NA
2018-05-29,0.3,NA
2018-05-29,0.55,NA
2018-05-29,0.8,NA
2018-05-29,1.05,NA
2018-05-30,0.05,22.9358064516129
2018-05-30,0.3,22.7990322580645
2018-05-30,0.55,22.5996774193548
2018-05-30,0.8,22.2229032258065
2018-05-30,1.05,21.9367741935484
2018-05-31,0.05,23.0921276595745
2018-05-31,0.3,22.3929166666667
2018-05-31,0.55,22.0891666666667
2018-05-31,0.8,21.8472916666667
2018-05-31,1.05,21.57375
2018-06-01,0.05,22.6460416666667
2018-06-01,0.3,22.5760416666667
2018-06-01,0.55,22.540625
2018-06-01,0.8,22.5016666666667
2018-06-01,1.05,22.4491666666667
2018-06-02,0.05,19.1275
2018-06-02,0.3,19.1289583333333
2018-06-02,0.55,19.1297916666667
2018-06-02,0.8,19.130625
2018-06-02,1.05,19.1316666666667
2018-06-03,0.05,16.6810416666667
2018-06-03,0.3,16.6689583333333
2018-06-03,0.55,16.6579166666667
2018-06-03,0.8,16.6416666666667
2018-06-03,1.05,16.625625
2018-06-04,0.05,18.5639583333333
2018-06-04,0.3,18.1389361702128
2018-06-04,0.55,17.8435416666667
2018-06-04,0.8,17.5727083333333
2018-06-04,1.05,17.4514583333333
2018-06-05,0.05,19.784375
2018-06-05,0.3,19.5933333333333
2018-06-05,0.55,19.3704166666667
2018-06-05,0.8,18.9875
2018-06-05,1.05,18.7614583333333
2018-06-06,0.05,20.5137142857143
2018-06-06,0.3,20.4142857142857
2018-06-06,0.55,20.3148571428571
2018-06-06,0.8,20.1145714285714
2018-06-06,1.05,19.8065714285714
2018-06-07,0.05,20.7420833333333
2018-06-07,0.3,20.731875
2018-06-07,0.55,20.7122916666667
2018-06-07,0.8,20.6622916666667
2018-06-07,1.05,20.3527083333333
2018-06-08,0.05,19.9745833333333
2018-06-08,0.3,19.9614583333333
2018-06-08,0.55,19.9429166666667
2018-06-08,0.8,19.9160416666667
2018-06-08,1.05,19.8875
2018-06-09,0.05,21.7383333333333
2018-06-09,0.3,21.6541666666667
2018-06-09,0.55,21.530625
2018-06-09,0.8,21.2491666666667
2018-06-09,1.05,20.85625
2018-06-10,0.05,23.374375
2018-06-10,0.3,23.2820833333333
2018-06-10,0.55,23.113125
2018-06-10,0.8,22.841875
2018-06-10,1.05,22.3677083333333
2018-06-11,0.05,22.3454166666667
