collectDate,value
2014-01-16,0.19
2014-02-11,0.1644
2014-03-11,0.0946
2014-04-15,NA
2014-05-13,0.0431
2014-06-10,0.1658
2016-10-11,0.088
2016-10-31,0.25
2016-12-05,0.071
2017-01-31,0.091
2017-02-28,0.085
2017-04-03,0.003
2017-05-01,0.086
2017-06-06,0.087
2017-06-06,0.108
2017-06-06,0.155
2017-06-26,0.194
2017-08-01,0.3343
2017-09-04,0.3635
2017-09-04,0.3906
2017-09-04,0.3714
2017-10-03,1.3205
2017-11-06,1.4991
2017-12-04,1.3511
2018-01-03,1.4862
2018-02-05,1.5667
2018-03-05,1.3761
2018-04-02,1.1789
2018-04-30,1.147
2018-06-04,1.1074
2018-06-04,1.1233
2018-06-04,1.1048
2018-07-09,1.0254
2018-07-30,1.2734
2018-07-30,1.2402
2018-07-30,1.2368
2018-09-04,1.4274
2018-09-04,1.4598
2018-09-04,1.4449
2018-10-01,1.5981
2018-11-05,1.7016
2018-12-04,1.6564
2019-01-07,1.4086
2019-02-04,1.42
2019-03-04,1.1407
2019-04-11,0.9057
2019-05-07,1.0343
2019-05-07,0.8778
2019-06-10,1.1602
2019-06-10,1.1851
2019-07-08,1.2075
2019-08-13,0.9981
2019-09-10,0.992
2019-09-10,1.0614
2019-09-10,1.071
2019-10-01,1.1309
