collectDate,value
2014-01-16,2.28
2014-02-11,2.17
2014-03-11,2.04
2014-04-15,NA
2014-05-13,2.12
2014-06-10,1.91
2016-10-11,1.18
2016-10-31,1.204
2016-12-05,1.256
2017-01-31,1.234
2017-02-28,1.341
2017-04-03,1.338
2017-05-01,1.526
2017-06-06,1.331
2017-06-06,1.355
2017-06-06,1.318
2017-06-26,1.605
2017-08-01,1.813
2017-09-04,2.02
2017-09-04,1.8636
2017-09-04,1.9592
2017-10-03,0.0474
2017-11-06,3.404
2017-12-04,0.9339
2018-01-03,0.3721
2018-02-05,3.633
2018-03-05,4.472
2018-04-02,4.671
2018-04-30,3.06
2018-06-04,3.054
2018-06-04,3.359
2018-06-04,3.052
2018-07-09,2.874
2018-07-30,2.937
2018-07-30,2.616
2018-07-30,2.806
2018-09-04,2.113
2018-09-04,3.022
2018-09-04,2.872
2018-10-01,2.36
2018-11-05,2.479
2018-12-04,3.547
2019-01-07,3.866
2019-02-04,3.34
2019-03-04,3.124
2019-04-11,0.2935
2019-05-07,2.367
2019-05-07,2.524
2019-06-10,2.877
2019-06-10,3.111
2019-07-08,2.827
2019-08-13,2.42
2019-09-10,2.478
2019-09-10,2.472
2019-09-10,2.498
2019-10-01,2.627
