collectDate,dissolvedOxygen
2020-07-07 14:55:00,4.19
2020-09-08 04:00:00,NA
2020-09-29 04:00:00,NA
2020-06-16 14:24:00,3.85
2020-05-05 04:00:00,NA
2020-04-07 04:00:00,NA
2020-03-03 16:00:00,8.13
2020-02-04 15:48:00,9.88
2020-01-07 14:56:00,7.75
2019-12-09 15:28:00,8.53
2019-11-04 16:31:00,5.95
2019-10-01 15:34:00,4
2016-08-09 13:30:00,4.11
2016-08-09 14:30:00,3.17
2016-08-09 15:02:00,4.52
2019-05-07 14:07:00,4.12
2018-06-04 16:00:00,4.04
2019-06-10 16:30:00,5.9
2016-09-06 14:07:00,5.49
2016-09-06 14:27:00,4.22
2016-09-06 14:50:00,5.91
2018-07-09 14:09:00,3.08
2018-07-30 14:30:00,1.96
2017-08-01 14:10:00,1.66
2017-08-01 14:29:00,2.14
2017-08-01 14:53:00,1.44
2019-04-11 15:58:00,5.59
2017-06-06 13:57:00,6.59
2017-06-06 14:25:00,5.22
2017-06-06 14:52:00,4.55
2017-06-26 14:19:00,4.44
2017-06-26 14:29:00,3.15
2017-06-26 15:21:00,3.69
2018-12-04 17:52:00,7.24
2018-11-05 17:16:00,5.98
2019-02-04 18:48:00,11.85
2018-03-05 18:01:00,4.79
2016-12-05 15:50:00,7.32
2016-12-05 16:26:00,7.25
2016-12-05 17:02:00,6.8
2017-04-03 13:36:00,6.46
2017-04-03 14:00:00,NA
2017-04-03 14:30:00,NA
2019-09-10 13:50:00,3.4
2019-03-04 17:06:00,5.97
2018-10-01 16:50:00,2.91
2018-04-02 17:03:00,6.77
2018-04-30 14:40:00,3.8
2017-11-06 15:52:00,4.26
2017-11-06 16:19:00,4.86
2017-11-06 16:28:00,2.88
2017-05-01 14:36:00,6.37
2017-05-01 14:48:00,6.59
2017-05-01 15:20:00,6.39
2017-12-04 15:52:00,NA
2017-12-04 16:11:00,NA
2017-12-04 16:31:00,NA
2018-02-05 15:53:00,9.26
2017-01-31 14:57:00,10.03
2017-01-31 15:30:00,9.7
2017-01-31 16:02:00,10.01
2019-01-07 17:42:00,5.31
2019-08-13 15:30:00,4.06
2017-02-28 14:40:00,7.23
2017-02-28 15:15:00,7.51
2017-02-28 15:34:00,7.14
2018-01-03 16:14:00,8.87
2016-10-11 14:22:00,6.93
2016-10-11 14:52:00,6.39
2016-10-11 15:30:00,5.64
2016-10-31 13:30:00,8.3
2016-10-31 14:05:00,5.57
2016-10-31 14:50:00,5.24
2017-10-03 14:10:00,0.25
2017-10-03 14:35:00,0.27
2017-10-03 15:05:00,0.54
2019-07-08 15:02:00,3.42
2017-09-04 14:18:00,3.54
2017-09-04 14:42:00,2.37
2017-09-04 15:05:00,2
2018-09-04 14:27:00,3.16
