collectDate,value
2016-11-07,0.145
2016-12-06,0.072
2017-01-10,NA
2017-02-07,0.027
2017-03-07,0.16
2017-04-03,0
2017-04-29,0.103
2017-06-27,0.062
2017-06-27,0.072
2017-07-05,0.101
2017-07-05,0.115
2017-08-01,0.1443
2017-08-01,0.0734
2017-09-06,0.0473
2017-11-07,0.7305
2017-12-05,0.1333
2018-01-09,0.1599
2018-02-13,0.1344
2018-03-06,0.0353
2018-03-06,0.0371
2018-03-06,0.051
2018-04-03,0.0776
2018-05-01,0.0755
2018-06-05,0.0202
2018-07-03,0.0046
2018-07-03,0.0447
2018-08-07,0.0264
2018-08-07,0.0901
2018-09-04,0.0658
2018-10-02,0.0657
2018-11-06,0
2018-12-04,0.0812
2018-12-04,0.0684
2018-12-04,0.032
2019-02-05,0.0725
2019-03-05,0.0751
2019-03-05,NA
2019-03-05,0.0739
2019-04-02,0.1155
2019-04-02,0.0955
2019-04-02,0.0977
2019-05-07,0.0802
2019-06-04,0.0567
2019-06-11,0.0465
2019-07-09,0.056
2019-07-09,0.0797
2019-08-06,0.1152
2019-08-07,0.0113
2019-10-01,0.0437
