collectDate,value
2016-11-07,0.1938
2016-12-06,0.2214
2017-01-10,NA
2017-02-07,0.3082
2017-03-07,0.2812
2017-04-03,0.2529
2017-04-29,NA
2017-06-27,0.1768
2017-06-27,0.2192
2017-07-05,NA
2017-07-05,0.2522
2017-08-01,0.2037
2017-08-01,0.2048
2017-09-06,0.124
2017-11-07,0.1478
2017-12-05,-0.0496
2018-01-09,NA
2018-02-13,0.1317
2018-03-06,0.2472
2018-03-06,0.2517
2018-03-06,0.2408
2018-04-03,0.3035
2018-05-01,0.472
2018-06-05,0.0706
2018-07-03,0.5403
2018-07-03,0.2732
2018-08-07,0.1844
2018-08-07,0.1926
2018-09-04,0.0433
2018-10-02,0.1353
2018-11-06,0.249
2018-12-04,0.2908
2018-12-04,0.2731
2018-12-04,0.2732
2019-02-05,0.3122
2019-03-05,0.2477
2019-03-05,0.2721
2019-03-05,0.2535
2019-04-02,0.5052
2019-04-02,0.5069
2019-04-02,0.4952
2019-05-07,0.2801
2019-06-04,0.2434
2019-06-11,0.2349
2019-07-09,0.213
2019-07-09,0.2006
2019-08-06,0.2048
2019-08-07,0.174
2019-10-01,0.2168
