Date,V1
2018-08-17,NA
2018-08-18,NA
2018-08-19,NA
2018-08-20,NA
2018-08-21,NA
2018-08-22,NA
2018-08-23,NA
2018-08-24,NA
2018-08-25,NA
2018-08-26,NA
2018-08-27,NA
2018-08-28,NA
2018-08-29,NA
2018-08-30,NA
2018-08-31,NA
2018-09-01,NA
2018-09-02,NA
2018-09-03,NA
2018-09-04,NA
2018-09-05,NA
2018-09-06,NA
2018-09-07,NA
2018-09-08,NA
2018-09-09,NA
2018-09-10,NA
2018-09-11,NA
2018-09-12,NA
2018-09-13,NA
2018-09-14,NA
2018-09-15,NA
2018-09-16,NA
2018-09-17,NA
2019-06-19,NA
2019-06-20,NA
2019-06-21,NA
2019-06-22,NA
2019-06-23,NA
2019-06-24,NA
2019-06-25,NA
2019-06-26,NA
2019-06-27,NA
2019-06-28,NA
2019-06-29,NA
2019-06-30,NA
2019-07-01,NA
2019-07-02,NA
2019-07-03,NA
2019-07-04,NA
2019-07-05,NA
2019-07-06,NA
2019-07-07,NA
2019-07-08,NA
2019-07-09,NA
2019-07-10,NA
2019-07-11,NA
2019-07-12,NA
2019-07-13,NA
2019-07-14,NA
2019-07-15,NA
2019-07-16,NA
2019-07-17,NA
2019-07-18,1.58212598425197
2019-07-19,1.41445283018868
2019-07-20,1.25729166666667
2019-07-21,1.33725694444444
2019-07-22,1.33249027237354
2019-07-23,0.8109375
2019-07-24,0.848680555555556
2019-07-25,0.962604166666667
2019-07-26,1.23513888888889
2019-07-27,1.64489583333333
2019-07-28,1.66777777777778
2019-07-29,1.89444444444444
2019-07-30,1.45829861111111
2019-07-31,1.394375
2019-08-01,1.5379347826087
2019-08-02,1.14725694444444
2019-08-03,0.990763888888889
2019-08-04,1.31916666666667
2019-08-05,1.07434027777778
2019-08-06,1.11743055555556
2019-08-07,1.07055555555556
2019-08-08,1.06666666666667
2019-08-09,1.1434375
2019-08-10,0.903229166666667
2019-08-11,0.952430555555556
2019-08-12,0.974652777777778
2019-08-13,0.915798611111111
2019-08-14,2.2428125
2019-08-15,0.940486111111111
2019-08-16,1.06298611111111
2019-08-17,1.14194444444444
2019-08-18,1.17944444444444
2019-08-19,1.22724
2019-08-20,1.79586805555556
2019-08-21,1.67251798561151
2019-08-22,1.88506944444444
2019-08-23,1.66631944444444
2019-08-24,1.71510416666667
2019-08-25,1.81225694444444
2019-08-26,1.71048611111111
2019-08-27,1.77552083333333
2019-08-28,1.87711805555556
2019-08-29,2.04
2019-08-30,1.881875
2019-08-31,1.69041666666667
2019-09-01,1.58503472222222
2019-09-02,1.59194444444444
2019-09-03,1.62142361111111
2019-09-04,1.95978947368421
2019-09-05,1.94555555555556
2019-09-06,1.69770833333333
2019-09-07,1.76638888888889
2019-09-08,1.86840277777778
2019-09-09,1.79184027777778
2019-09-10,2.05076388888889
2019-09-11,2.23159722222222
2019-09-12,2.06572916666667
2019-09-13,2.14576388888889
2019-09-14,2.16746527777778
2019-09-15,2.176875
2019-09-16,2.06496527777778
2019-09-17,2.16878472222222
2019-09-18,1.96440972222222
2019-09-19,2.27355769230769
