collectDate,dissolvedOxygen
2019-12-03 19:27:00,12.8
2017-01-10 19:37:00,18.49
2017-04-03 10:40:00,21.9
2017-04-29 16:10:00,12.2
2017-07-04 19:48:00,10.2
2017-07-05 01:22:00,10
2017-07-05 02:04:00,10.5
2017-07-05 05:33:00,9.9
2018-06-05 19:20:00,11.7
2018-06-05 22:22:00,12.1
2018-06-05 22:59:00,12.8
2017-03-07 20:00:00,23.4
2017-06-06 22:48:00,10.4
2017-06-27 18:22:00,11.5
2017-06-27 19:48:00,11.4
2017-06-27 21:44:00,12.3
2017-06-28 00:11:00,8.68
2019-04-02 19:35:00,13
2017-02-07 12:00:00,12.62
2016-12-06 20:15:00,13.26
2017-08-02 22:43:00,9.8
2017-08-02 22:47:00,9.4
2017-08-02 23:53:00,9.6
2017-08-02 23:55:00,9.2
2016-11-07 22:30:00,16.6
2017-09-06 00:00:00,12
2017-09-06 00:11:00,11.7
2017-09-06 07:45:00,13.8
2017-11-07 19:30:00,12.7
2016-09-10 17:52:00,10.92
2016-09-10 19:18:00,11.8
2016-09-10 23:59:00,10.65
