date,secchiMeanDepth
2020-09-05 18:49:00,4.6
2020-09-07 17:45:00,4.4
2020-09-21 17:13:00,3.8
2020-08-10 16:01:00,3.9
2020-08-19 19:24:00,4
2020-07-07 18:10:00,3.8
2020-07-19 21:28:00,5.3
2020-06-25 23:30:00,3
2020-03-03 22:01:00,NA
2020-02-04 20:36:00,NA
2018-03-06 19:27:00,NA
2017-11-07 19:30:00,NA
2018-09-04 17:34:00,1.7
2019-12-03 19:27:00,NA
2018-11-06 20:18:00,NA
2018-08-01 17:35:00,4.8
2018-08-07 18:06:00,3.6
2018-07-03 17:36:00,3.1
2017-04-03 10:40:00,NA
2017-04-29 19:38:00,NA
2019-08-06 17:35:00,3.8
2018-01-09 20:00:00,NA
2019-07-09 17:28:00,4.5
2019-07-31 17:26:00,3.8
2017-02-17 10:02:00,NA
2016-08-10 12:00:00,3.8
2019-02-05 20:24:00,NA
2019-09-03 21:18:00,2.6
2019-09-10 17:55:00,2.5
2017-09-05 23:19:00,4.8
2019-06-04 18:31:00,4.6
2019-06-11 17:48:00,2.2
2019-06-21 03:38:00,3.7
2019-06-21 17:21:00,3.6
2018-04-03 18:13:00,NA
2018-02-13 18:48:00,NA
2018-06-05 18:30:00,NA
2018-06-28 18:08:00,2.9
2017-08-01 17:08:00,3.8
2018-10-02 19:47:00,2.5
2017-07-04 23:11:00,4.6
2016-09-10 12:00:00,3.3
2018-12-04 19:33:00,NA
2017-06-25 23:05:00,4.4
2017-06-27 17:31:00,4.8
2017-12-05 19:43:00,NA
2019-04-02 20:00:00,NA
2019-05-07 19:46:00,NA
2016-07-27 12:00:00,3.8
2019-03-05 18:52:00,NA
2018-05-01 22:07:00,NA
2019-11-05 20:38:00,NA
2019-10-01 19:08:00,3.6
