Date,V1
2019-06-19,NA
2019-06-20,NA
2019-06-21,NA
2019-06-22,NA
2019-06-23,NA
2019-06-24,NA
2019-06-25,NA
2019-06-26,NA
2019-06-27,NA
2019-06-28,5.4
2019-06-29,5.4
2019-06-30,5.45
2019-07-01,NA
2019-07-02,NA
2019-07-03,NA
2019-07-04,NA
2019-07-05,NA
2019-07-06,NA
2019-07-07,NA
2019-07-08,NA
2019-07-09,NA
2019-07-10,NA
2019-07-11,NA
2019-07-12,NA
2019-07-13,NA
2019-07-14,NA
2019-07-15,NA
2019-07-16,NA
2019-07-17,NA
2019-07-18,NA
2019-07-19,6.12236842105263
2019-07-20,6.13368421052632
2019-07-21,6.16947368421053
2019-07-22,6.15054945054945
2019-07-23,6.16595744680851
2019-07-24,6.1936170212766
2019-07-25,6.22444444444444
2019-07-26,6.28064516129032
2019-07-27,6.35591397849462
2019-07-28,6.4195652173913
2019-07-29,6.4
2019-07-30,6.35625
2019-07-31,6.40851063829787
2019-08-01,6.43152173913044
2019-08-02,6.47553191489362
2019-08-03,6.52111111111111
2019-08-04,6.54105263157895
2019-08-05,6.57234042553192
2019-08-06,6.60625
2019-08-07,6.62584269662921
2019-08-08,6.63655913978495
2019-08-09,6.85625
2019-08-10,6.87684210526316
2019-08-11,6.95263157894737
2019-08-12,7.05833333333333
2019-08-13,7.06210526315789
2019-08-14,7.03225806451613
2019-08-15,7.19578947368421
2019-08-16,7.17555555555556
2019-08-17,7.44239130434783
2019-08-18,7.60421052631579
2019-08-19,7.60444444444444
2019-08-20,7.60851063829787
2019-08-21,7.76989247311828
2019-08-22,7.78064516129032
2019-08-23,7.88125
2019-08-24,7.96344086021505
2019-08-25,8.0436170212766
2019-08-26,8.16489361702128
2019-08-27,8.27777777777778
2019-08-28,8.32659574468085
2019-08-29,8.3
2019-08-30,NA
2019-08-31,NA
2019-09-01,NA
2019-09-02,NA
2019-09-03,NA
2019-09-04,NA
2019-09-05,NA
2019-09-06,NA
2019-09-07,NA
2019-09-08,NA
2019-09-09,NA
2019-09-10,NA
2019-09-11,NA
2019-09-12,NA
2019-09-13,NA
2019-09-14,NA
2019-09-15,NA
2019-09-16,NA
2019-09-17,NA
2019-09-18,NA
2019-09-19,NA
2019-09-20,NA
