Date,thermistorDepth,V1
2019-06-19,0.05,NA
2019-06-19,1.75,NA
2019-06-19,3.5,NA
2019-06-19,5.25,NA
2019-06-19,7,NA
2019-06-19,8.75,NA
2019-06-19,10.5,NA
2019-06-19,12.25,NA
2019-06-19,14,NA
2019-06-19,15.75,NA
2019-06-20,0.05,NA
2019-06-20,1.75,NA
2019-06-20,3.5,NA
2019-06-20,5.25,NA
2019-06-20,7,NA
2019-06-20,8.75,NA
2019-06-20,10.5,NA
2019-06-20,12.25,NA
2019-06-20,14,NA
2019-06-20,15.75,NA
2019-06-21,0.05,NA
2019-06-21,1.75,NA
2019-06-21,3.5,NA
2019-06-21,5.25,NA
2019-06-21,7,NA
2019-06-21,8.75,NA
2019-06-21,10.5,NA
2019-06-21,12.25,NA
2019-06-21,14,NA
2019-06-21,15.75,NA
2019-06-22,0.05,NA
2019-06-22,1.75,NA
2019-06-22,3.5,NA
2019-06-22,5.25,NA
2019-06-22,7,NA
2019-06-22,8.75,NA
2019-06-22,10.5,NA
2019-06-22,12.25,NA
2019-06-22,14,NA
2019-06-22,15.75,NA
2019-06-23,0.05,NA
2019-06-23,1.75,NA
2019-06-23,3.5,NA
2019-06-23,5.25,NA
2019-06-23,7,NA
2019-06-23,8.75,NA
2019-06-23,10.5,NA
2019-06-23,12.25,NA
2019-06-23,14,NA
2019-06-23,15.75,NA
2019-06-24,0.05,NA
2019-06-24,1.75,NA
2019-06-24,3.5,NA
2019-06-24,5.25,NA
2019-06-24,7,NA
2019-06-24,8.75,NA
2019-06-24,10.5,NA
2019-06-24,12.25,NA
2019-06-24,14,NA
2019-06-24,15.75,NA
2019-06-25,0.05,NA
2019-06-25,1.75,NA
2019-06-25,3.5,NA
2019-06-25,5.25,NA
2019-06-25,7,NA
2019-06-25,8.75,NA
2019-06-25,10.5,NA
2019-06-25,12.25,NA
2019-06-25,14,NA
2019-06-25,15.75,NA
2019-06-26,0.05,NA
2019-06-26,1.75,NA
2019-06-26,3.5,NA
2019-06-26,5.25,NA
2019-06-26,7,NA
2019-06-26,8.75,NA
2019-06-26,10.5,NA
2019-06-26,12.25,NA
2019-06-26,14,NA
2019-06-26,15.75,NA
2019-06-27,0.05,NA
2019-06-27,1.75,NA
2019-06-27,3.5,NA
2019-06-27,5.25,NA
2019-06-27,7,NA
2019-06-27,8.75,NA
2019-06-27,10.5,NA
2019-06-27,12.25,NA
2019-06-27,14,NA
2019-06-27,15.75,NA
2019-06-28,0.05,NA
2019-06-28,1.75,NA
2019-06-28,3.5,NA
2019-06-28,5.25,NA
2019-06-28,7,NA
2019-06-28,8.75,NA
2019-06-28,10.5,NA
2019-06-28,12.25,NA
2019-06-28,14,NA
2019-06-28,15.75,NA
2019-06-29,0.05,NA
2019-06-29,1.75,NA
2019-06-29,3.5,NA
2019-06-29,5.25,NA
2019-06-29,7,NA
2019-06-29,8.75,NA
2019-06-29,10.5,NA
2019-06-29,12.25,NA
2019-06-29,14,NA
2019-06-29,15.75,NA
2019-06-30,0.05,NA
2019-06-30,1.75,NA
2019-06-30,3.5,NA
2019-06-30,5.25,NA
2019-06-30,7,NA
2019-06-30,8.75,NA
2019-06-30,10.5,NA
2019-06-30,12.25,NA
2019-06-30,14,NA
2019-06-30,15.75,NA
2019-07-01,0.05,NA
2019-07-01,1.75,NA
2019-07-01,3.5,NA
2019-07-01,5.25,NA
2019-07-01,7,NA
2019-07-01,8.75,NA
2019-07-01,10.5,NA
2019-07-01,12.25,NA
2019-07-01,14,NA
2019-07-01,15.75,NA
2019-07-02,0.05,NA
2019-07-02,1.75,NA
2019-07-02,3.5,NA
2019-07-02,5.25,NA
2019-07-02,7,NA
2019-07-02,8.75,NA
2019-07-02,10.5,NA
2019-07-02,12.25,NA
2019-07-02,14,NA
2019-07-02,15.75,NA
2019-07-03,0.05,NA
2019-07-03,1.75,NA
2019-07-03,3.5,NA
2019-07-03,5.25,NA
2019-07-03,7,NA
2019-07-03,8.75,NA
2019-07-03,10.5,NA
2019-07-03,12.25,NA
2019-07-03,14,NA
2019-07-03,15.75,NA
2019-07-04,0.05,NA
2019-07-04,1.75,NA
2019-07-04,3.5,NA
2019-07-04,5.25,NA
2019-07-04,7,NA
2019-07-04,8.75,NA
2019-07-04,10.5,NA
2019-07-04,12.25,NA
2019-07-04,14,NA
2019-07-04,15.75,NA
2019-07-05,0.05,NA
2019-07-05,1.75,NA
2019-07-05,3.5,NA
2019-07-05,5.25,NA
2019-07-05,7,NA
2019-07-05,8.75,NA
2019-07-05,10.5,NA
2019-07-05,12.25,NA
2019-07-05,14,NA
2019-07-05,15.75,NA
2019-07-06,0.05,NA
2019-07-06,1.75,NA
2019-07-06,3.5,NA
2019-07-06,5.25,NA
2019-07-06,7,NA
2019-07-06,8.75,NA
2019-07-06,10.5,NA
2019-07-06,12.25,NA
2019-07-06,14,NA
2019-07-06,15.75,NA
2019-07-07,0.05,NA
2019-07-07,1.75,NA
2019-07-07,3.5,NA
2019-07-07,5.25,NA
2019-07-07,7,NA
2019-07-07,8.75,NA
2019-07-07,10.5,NA
2019-07-07,12.25,NA
2019-07-07,14,NA
2019-07-07,15.75,NA
2019-07-08,0.05,NA
2019-07-08,1.75,NA
2019-07-08,3.5,NA
